Hallmark	sig	t_value	p_value	p_adj	Functional_group
adipogenesis	HALLMARK_ADIPOGENESIS	-4.974040381657222	8.806435703484495e-6	2.4658019969756587e-4	development
allograft_rejection	HALLMARK_ALLOGRAFT_REJECTION	5.517638196590417	1.3555299652071482e-6	4.0665898956214445e-5	immune
angiogenesis	HALLMARK_ANGIOGENESIS	-3.9211611367262678	2.7949027806412925e-4	0.006428276395474973	development
apical_junction	HALLMARK_APICAL_JUNCTION	-7.87343585739772	3.422139240033318e-10	1.4030770884136603e-8	cellular_component
apical_surface	HALLMARK_APICAL_SURFACE	-20.07539363099012	5.389158335623481e-25	2.694579167811741e-23	cellular_component
apoptosis	HALLMARK_APOPTOSIS	-1.4675631338258943	0.14874532076056907	1	pathway
bile_acid_metabolism	HALLMARK_BILE_ACID_METABOLISM	-4.622629203044208	2.876464448286465e-5	7.478807565544809e-4	metabolic
cholesterol_homeostasis	HALLMARK_CHOLESTEROL_HOMEOSTASIS	-7.913517362725014	2.9758473819103385e-10	1.2498559004023421e-8	metabolic
coagulation	HALLMARK_COAGULATION	-1.0210041981842382	0.31237099775992616	1	immune
complement	HALLMARK_COMPLEMENT	2.617091643890176	0.011824952023720253	0.2010241844032443	immune
dna_repair	HALLMARK_DNA_REPAIR	2.447665246125996	0.018086826001767933	0.271302390026519	dna_damage
e2f_targets	HALLMARK_E2F_TARGETS	9.086018142588108	5.300935549342627e-12	2.4384303526976085e-10	proliferation
epithelial_mesenchymal_transition	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	-2.8883384315087315	0.00579401291344215	0.11008624535540086	development
estrogen_response_early	HALLMARK_ESTROGEN_RESPONSE_EARLY	-10.174883190775407	1.4314515531962013e-13	6.727822300022146e-12	signaling
estrogen_response_late	HALLMARK_ESTROGEN_RESPONSE_LATE	-10.182374107586153	1.3970015131605555e-13	6.705607263170666e-12	signaling
fatty_acid_metabolism	HALLMARK_FATTY_ACID_METABOLISM	-7.206964923302207	3.5439330629162593e-9	1.3466945639081786e-7	metabolic
g2m_checkpoint	HALLMARK_G2M_CHECKPOINT	6.243244550230659	1.064571083433783e-7	3.5130845753314837e-6	proliferation
glycolysis	HALLMARK_GLYCOLYSIS	3.654901184288421	6.365936385764598e-4	0.013368466410105655	metabolic
hedgehog_signaling	HALLMARK_HEDGEHOG_SIGNALING	-7.00985196839963	7.101826523753325e-9	2.556657548551197e-7	signaling
heme_metabolism	HALLMARK_HEME_METABOLISM	-8.332578664461801	6.95471777394708e-11	3.0600758205367153e-09	metabolic
hypoxia	HALLMARK_HYPOXIA	-0.6281834149804975	0.5328614695047522	1	pathway
il2_stat5_signaling	HALLMARK_IL2_STAT5_SIGNALING	-1.0287413480348937	0.30875744078347744	1	signaling
il6_jak_stat3_signaling	HALLMARK_IL6_JAK_STAT3_SIGNALING	4.297068130650626	8.404036663155205e-5	0.002016968799157249	immune
inflammatory_response	HALLMARK_INFLAMMATORY_RESPONSE	4.422226635328438	5.5826212343095266e-5	0.0013956553085773817	immune
interferon_alpha_response	HALLMARK_INTERFERON_ALPHA_RESPONSE	6.105157919014171	1.7318765010994821e-7	5.542004803518343e-6	immune
interferon_gamma_response	HALLMARK_INTERFERON_GAMMA_RESPONSE	5.217940092941199	3.822823480484602e-6	1.1086188093405344e-4	immune
kras_signaling_dn	HALLMARK_KRAS_SIGNALING_DN	-7.7381798535453825	5.488283822171853e-10	2.1953135288687415e-8	signaling
kras_signaling_up	HALLMARK_KRAS_SIGNALING_UP	-2.1346336586129326	0.03792471195920616	0.5309459674288862	signaling
mitotic_spindle	HALLMARK_MITOTIC_SPINDLE	0.686895808976593	0.4954537365947599	1	proliferation
mtorc1_signaling	HALLMARK_MTORC1_SIGNALING	2.592285933725841	0.012596918055433235	0.20155068888693176	signaling
myc_targets_v1	HALLMARK_MYC_TARGETS_V1	0.6002209543520785	0.5511824093549933	1	proliferation
myc_targets_v2	HALLMARK_MYC_TARGETS_V2	6.494601337469192	4.3835435905989145e-8	1.4904048208036308e-6	proliferation
myogenesis	HALLMARK_MYOGENESIS	-7.499916352719794	1.2647209561751864e-9	4.932411729083227e-8	development
notch_signaling	HALLMARK_NOTCH_SIGNALING	-3.6233521297110505	7.00610454075961e-4	0.01401220908151922	signaling
oxidative_phosphorylation	HALLMARK_OXIDATIVE_PHOSPHORYLATION	-7.200124594221596	3.630384905176068e-9	1.3466945639081786e-7	metabolic
p53_pathway	HALLMARK_P53_PATHWAY	0.20768157305070084	0.8363562512666991	1	proliferation
pancreas_beta_cells	HALLMARK_PANCREAS_BETA_CELLS	-0.32214845639864087	0.748739130181122	1	development
peroxisome	HALLMARK_PEROXISOME	-4.7160879778589	2.1047399433359625e-5	5.682797847007099e-4	cellular_component
pi3k_akt_mtor_signaling	HALLMARK_PI3K_AKT_MTOR_SIGNALING	1.1845092447472594	0.24204365899187294	1	signaling
protein_secretion	HALLMARK_PROTEIN_SECRETION	-1.6579324742217083	0.1038532649619684	1	pathway
reactive_oxygen_species_pathway	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	-2.656777969709975	0.01067944893106554	0.19223008075917972	pathway
spermatogenesis	HALLMARK_SPERMATOGENESIS	3.7658156082293086	4.531881651036207e-4	0.009970139632279655	development
tgf_beta_signaling	HALLMARK_TGF_BETA_SIGNALING	-6.748780131524841	1.785636541675634e-8	6.249727895864719e-7	signaling
tnfa_signaling_via_nfkb	HALLMARK_TNFA_SIGNALING_VIA_NFKB	-0.11086236999014412	0.9121877480209083	1	signaling
unfolded_protein_response	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	1.3352141449840305	0.1881042299729257	1	pathway
uv_response_dn	HALLMARK_UV_RESPONSE_DN	-8.59016592784783	2.8668732554014462e-11	1.2900929649306507e-9	dna_damage
uv_response_up	HALLMARK_UV_RESPONSE_UP	-5.957486120342313	2.911420064229029e-7	9.025402199109989e-6	dna_damage
wnt_beta_catenin_signaling	HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.9495927526932271	0.34707609024279384	1	signaling
xenobiotic_metabolism	HALLMARK_XENOBIOTIC_METABOLISM	-8.248910088548536	9.286217540652466e-11	3.99307354248056e-9	metabolic
