gene	sd_tracerx_renal
XIST	4.598299373430332
FABP7	3.815200306361922
RPS4Y1	3.362367497677944
FGG	3.2779170012296888
SLC5A12	3.195158938019401
SLC22A2	3.1550915475856156
LBP	3.1047839177586796
SLC6A3	3.059945441290043
APOB	3.0512819793474204
GSTA1	3.0455291150554564
USP9Y	3.0364116771175893
HP	3.0332224342355114
AOC1	3.0291281355878845
FGA	3.0200545050693313
FGB	3.00700750755781
AKR1B10	2.9885016082122595
CP	2.987768130993315
NUDT4P2	2.9761465375957674
HABP2	2.9606388004714814
RBP4	2.939780887892569
ALDOB	2.927842006858493
SLC5A8	2.914294129347343
GSTA2	2.8983267564495705
C12orf36	2.891991118451828
KRT19	2.881363645003315
SLC34A2	2.8614564905586017
NPTX2	2.8414247306893405
PIGR	2.8397683045946898
KDM5D	2.8360105455672104
SORCS3	2.8093419725639897
LOC102659288	2.8038714598730983
SAA1	2.796789801173179
PCK1	2.7910888893849384
HMGCS2	2.7869902176362236
REG1A	2.7834961431700695
DDX3Y	2.77964812399845
SLC17A3	2.7773454000400424
GC	2.7754659121490426
PNCK	2.756425871463086
IGFN1	2.749537830893161
EEF1A2	2.7318359036068744
CYP24A1	2.709504822423812
CUBN	2.703984489595295
ACE2	2.689972838000867
BASP1P1	2.683111062207828
UGT1A9	2.6767913119690236
PROM1	2.6562903943494014
IGLL5	2.6176614627775887
NDNF	2.6108742841436605
SLC5A1	2.600771451556588
NEFL	2.5968659640430536
SLC13A1	2.5802066451868417
TF	2.57371298887998
NDUFA4L2	2.5564686990520493
GRIA4	2.5315980090424857
DCN	2.529641094304646
IGFBP1	2.5260092292743264
SLC22A6	2.5197931455121467
UGT3A1	2.5169352146400095
SLC6A19	2.510862316823417
NAT8	2.4935471054920124
BIRC7	2.4889578287098106
TMEM27	2.4886456279015827
TEX15	2.4789756275093877
ELK2AP	2.4712810102484055
LUM	2.4672768312942397
PPP1R1A	2.465289138203952
DNAH11	2.463311365593424
CHRDL1	2.444681675201827
PTGER3	2.444324660194594
LGALS4	2.442190669523151
MAP7D2	2.439619399042123
GSTM1	2.436364650823656
PAH	2.4328901371879783
LGI4	2.429237548610642
MAT1A	2.4269893997855827
SERPINA3	2.4265673808565262
SPON1	2.4170107102880305
SST	2.401767128078943
CYP2J2	2.400949149170654
ZFY	2.3894459736655267
C7	2.388443272759748
GBA3	2.3857486804617367
MMP7	2.3790726985511887
BBOX1	2.3755062987301985
REN	2.374460011427167
MGAM	2.368770166104068
PRAME	2.3660552829380137
NPR3	2.359910994790355
LTF	2.3522457374084067
CYP4A11	2.349950454424198
SLC10A2	2.349568956060912
GRIN2A	2.3464962992597305
ADCY8	2.3432381251704104
CLDN2	2.3320496171551506
RGPD8	2.3293210628581984
CLEC18C	2.3245491689278186
PCDH10	2.3154528259996967
ALPI	2.3120925534874073
FOSB	2.311389246682412
UTY	2.297104268256476
IGJ	2.2922007559971624
LRP2	2.290844812263473
PKHD1	2.2772332138659244
ACSM2B	2.2697217689336844
TSPAN1	2.266656523408444
PTHLH	2.260739587053889
PRIMA1	2.2581931696821655
CHIT1	2.257266104146192
MYEOV	2.248922221414401
EPO	2.2486791682979406
PLG	2.2417219792550513
PGF	2.238401447072931
LY75-CD302	2.2338724673570116
UCHL1	2.228683340299235
C6	2.220404628272176
BHMT	2.2195405865805493
IL20RB	2.2145760002004553
ADH1B	2.209151849592303
SFRP2	2.2081923991236705
AOX1	2.2045912817741
ACSM2A	2.202783916133687
F2	2.194980875276223
SPOCK1	2.193159167835411
MIOX	2.190863683859853
SCGN	2.185171476600356
SLC17A4	2.185104041827602
SLC2A2	2.1842306871982298
F10	2.1840588395502682
CA9	2.1793911484769883
COL1A1	2.176972920612227
A1CF	2.175855299579463
SLC22A12	2.1655237342161313
VIL1	2.16203918398993
CDHR5	2.1579807269614815
GDA	2.1572324747923513
FLNC	2.1566081966746737
GLYAT	2.1538900649155233
LINC01139	2.15238362545563
SLC6A13	2.1408065588717466
VNN1	2.1333116825384066
NLGN4Y	2.1330977168989067
DDC	2.1302254540291554
ALDH1L1	2.1273632628983297
CXCL8	2.1271015644428344
SLC23A3	2.1250036392283707
COL11A1	2.1114152122930543
TGFBI	2.1026332146953974
IGF2	2.1015346974391513
HLA-DQA2	2.1014613866190737
NEB	2.093178777369313
SYT13	2.092960524803913
MMP1	2.092408582465875
AGXT2	2.0920255169239135
CXCL5	2.0916029148228152
CDH4	2.090697306558486
SLC28A1	2.0906812362160916
SLC16A12	2.090446774698664
C10orf99	2.0896843836101984
AZGP1	2.08625733053671
FMO1	2.0809805045616763
CXCL14	2.0779176699431354
G6PC	2.0769416095235558
ENPP3	2.0749882758010387
SLC39A5	2.0726149580899786
PDGFRA	2.0698020389385805
MSLN	2.0693667840381624
TUBA3D	2.0667874655865424
LOC101929412	2.0656960722824578
SLC44A5	2.064164398356692
EIF3C	2.0637833402589982
UGT1A6	2.062300446185384
TNFRSF6B	2.0600909749136607
SLPI	2.0587617267208596
EIF1AY	2.0539168665339367
HHLA2	2.050364542466257
SLC13A3	2.049571543865896
PDE10A	2.049183819798632
CCL18	2.0468410295744563
LOC285768	2.043359842970651
TTC21B-AS1	2.042596625623871
RMST	2.0400760422061546
HNF4A	2.038289533524422
