Hallmark	sig	t_value	p_value	p_adj	Functional_group
adipogenesis	HALLMARK_ADIPOGENESIS	-0.6617304410893285	0.5096075229425776	1	development
allograft_rejection	HALLMARK_ALLOGRAFT_REJECTION	-4.772452725615531	5.96837857655037e-6	2.685770359447667e-4	immune
angiogenesis	HALLMARK_ANGIOGENESIS	-2.8334342631755427	0.005532218028518997	0.1825631949411269	development
apical_junction	HALLMARK_APICAL_JUNCTION	-2.3563149048973435	0.020330910554102192	0.5895964060689636	cellular_component
apical_surface	HALLMARK_APICAL_SURFACE	-3.388802374582136	9.9262623299031e-4	0.0397050493196124	cellular_component
apoptosis	HALLMARK_APOPTOSIS	-4.277985735734522	4.2013436075640664e-5	0.001764564315176908	pathway
bile_acid_metabolism	HALLMARK_BILE_ACID_METABOLISM	1.3374653965798142	0.1839884517829082	1	metabolic
cholesterol_homeostasis	HALLMARK_CHOLESTEROL_HOMEOSTASIS	3.0976734878979033	0.002508079885488382	0.09018746684170668	metabolic
coagulation	HALLMARK_COAGULATION	-2.224102096172498	0.02830318193883168	0.792489094287287	immune
complement	HALLMARK_COMPLEMENT	-5.091083785671607	1.5922064430931384e-6	7.801811571156378e-5	immune
dna_repair	HALLMARK_DNA_REPAIR	-0.17929362242669436	0.8580559987723273	1	dna_damage
e2f_targets	HALLMARK_E2F_TARGETS	1.659363055076374	0.1000553790935773	1	proliferation
epithelial_mesenchymal_transition	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	-1.1025109187286715	0.27278441458752944	1	development
estrogen_response_early	HALLMARK_ESTROGEN_RESPONSE_EARLY	0.0077279182793811504	0.993848879186192	1	signaling
estrogen_response_late	HALLMARK_ESTROGEN_RESPONSE_LATE	-0.11847404232087938	0.905920590757191	1	signaling
fatty_acid_metabolism	HALLMARK_FATTY_ACID_METABOLISM	0.2442314422608493	0.807532754934536	1	metabolic
g2m_checkpoint	HALLMARK_G2M_CHECKPOINT	1.2594461265807309	0.2106884748745094	1	proliferation
glycolysis	HALLMARK_GLYCOLYSIS	1.6717004502949386	0.09758970231499997	1	metabolic
hedgehog_signaling	HALLMARK_HEDGEHOG_SIGNALING	-0.5259776961336947	0.6000235160876153	1	signaling
heme_metabolism	HALLMARK_HEME_METABOLISM	-1.7391445433134505	0.08496824099245336	1	metabolic
hypoxia	HALLMARK_HYPOXIA	-1.584157914128366	0.11619402881571736	1	pathway
il2_stat5_signaling	HALLMARK_IL2_STAT5_SIGNALING	-5.657910322994503	1.3608301588695466e-7	6.804150794347733e-6	signaling
il6_jak_stat3_signaling	HALLMARK_IL6_JAK_STAT3_SIGNALING	-4.472959481073806	1.975950277391135e-5	8.694181220520994e-4	immune
inflammatory_response	HALLMARK_INFLAMMATORY_RESPONSE	-4.91276941466351	3.354864570277737e-6	1.5767863480305365e-4	immune
interferon_alpha_response	HALLMARK_INTERFERON_ALPHA_RESPONSE	-4.405810894327844	2.5680353514465444e-5	0.0011042552011220142	immune
interferon_gamma_response	HALLMARK_INTERFERON_GAMMA_RESPONSE	-5.0028393165989105	2.306573538652914e-6	1.1071552985533989e-4	immune
kras_signaling_dn	HALLMARK_KRAS_SIGNALING_DN	0.10956607415284647	0.9129646552176893	1	signaling
kras_signaling_up	HALLMARK_KRAS_SIGNALING_UP	-4.8978326209795116	3.56861462369671e-6	1.6415627269004865e-4	signaling
mitotic_spindle	HALLMARK_MITOTIC_SPINDLE	-0.1001027844001379	0.9204554396083711	1	proliferation
mtorc1_signaling	HALLMARK_MTORC1_SIGNALING	1.7400790709788203	0.08480323582078186	1	signaling
myc_targets_v1	HALLMARK_MYC_TARGETS_V1	-0.7525246110319507	0.45343556306137023	1	proliferation
myc_targets_v2	HALLMARK_MYC_TARGETS_V2	3.234099340184325	0.001635966089830822	0.06053074532374041	proliferation
myogenesis	HALLMARK_MYOGENESIS	-1.313172781899559	0.19201472774076828	1	development
notch_signaling	HALLMARK_NOTCH_SIGNALING	-2.0017940871126805	0.047910877375473365	1	signaling
oxidative_phosphorylation	HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.006829396292865866	0.9945640555938946	1	metabolic
p53_pathway	HALLMARK_P53_PATHWAY	-2.7463590012493238	0.0071027173011440296	0.2201842363354649	proliferation
pancreas_beta_cells	HALLMARK_PANCREAS_BETA_CELLS	0.4511358210219604	0.6528309291457349	1	development
peroxisome	HALLMARK_PEROXISOME	1.6014662889645075	0.11230692738871034	1	cellular_component
pi3k_akt_mtor_signaling	HALLMARK_PI3K_AKT_MTOR_SIGNALING	-3.2919568169800284	0.0013596602923957712	0.053026751403435074	signaling
protein_secretion	HALLMARK_PROTEIN_SECRETION	-0.9751243942451918	0.33176126047168764	1	pathway
reactive_oxygen_species_pathway	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	-0.5548976193936086	0.5801561789768035	1	pathway
spermatogenesis	HALLMARK_SPERMATOGENESIS	2.00071400169424	0.048029126549223825	1	development
tgf_beta_signaling	HALLMARK_TGF_BETA_SIGNALING	-3.285973446945368	0.001386067014410064	0.053026751403435074	signaling
tnfa_signaling_via_nfkb	HALLMARK_TNFA_SIGNALING_VIA_NFKB	-3.6156219494498973	4.638683804296847e-4	0.019018603597617072	signaling
unfolded_protein_response	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	1.5984625139058322	0.11297395271863096	1	pathway
uv_response_dn	HALLMARK_UV_RESPONSE_DN	-3.0980448656854906	0.00250520741226963	0.09018746684170668	dna_damage
uv_response_up	HALLMARK_UV_RESPONSE_UP	-3.0821563223358424	0.002630867162141735	0.09018746684170668	dna_damage
wnt_beta_catenin_signaling	HALLMARK_WNT_BETA_CATENIN_SIGNALING	-2.384142268196365	0.01893169802629094	0.5679509407887282	signaling
xenobiotic_metabolism	HALLMARK_XENOBIOTIC_METABOLISM	0.8318305710637075	0.40741049870768153	1	metabolic
