gene	t	p	model_p	fdr	variable
A1BG	2.141241272154243	0.033344208551222304	1.0543793047985294e-4	0.08267622181302414	is_metastasis
A1BG-AS1	-0.9995619074433847	0.31861081860554613	6.289221013274804e-12	0.45608024662908797	is_metastasis
A1CF	0.0031378888206072043	0.9974991489342183	1.375818141667051e-6	0.9983476029877489	is_metastasis
A2M	-0.08686212310065186	0.93085940249561006	2.6277128135802744e-18	0.954796946334303	is_metastasis
A2M-AS1	-1.8266625438861197	0.06909341741112257	0.708980379166315	0.14451178400904321	is_metastasis
A4GALT	-5.158563814404176	5.508970548677874e-7	2.9690377083291476e-16	2.636836072790901e-5	is_metastasis
A4GNT	-0.7335554780067747	0.4639936537878516	1.6930013856990942e-5	0.5987014887585183	is_metastasis
AAAS	1.6702950613601886	0.09627025963347122	0.8263920331853943	0.1864914344937047	is_metastasis
AACS	0.9746469709173985	0.3307962158187955	1.0174812266913543e-5	0.46838875953436593	is_metastasis
AACSP1	0.7835285076696894	0.4341519363031363	0.033810037092143294	0.5699884091678553	is_metastasis
AADACL2-AS1	-2.5890191058771186	0.010261095038826303	0.9124027479859782	0.033678907937756256	is_metastasis
AADAT	-2.8056503469697525	0.005467356762009831	1.6891990789075552e-8	0.02087769146551835	is_metastasis
AAGAB	3.584506401575645	4.1517103832900803e-4	6.93115074469166e-6	0.003042145854284169	is_metastasis
AAK1	-1.3870894130277045	0.16680553133026488	0.7614386905462304	0.28200360421256465	is_metastasis
AAMDC	4.4988585015632045	1.101757129586377e-5	0.006785636535849056	2.1849453187864666e-4	is_metastasis
AAMP	-0.2936763196425549	0.7692796190052869	0.008097382586066649	0.8426864406791815	is_metastasis
AAR2	1.1548606680387772	0.24938904851370694	0.9694108493862141	0.38163795003939976	is_metastasis
AARD	-2.122435800178672	0.03490896179576897	0.13499724871256977	0.0854567511366605	is_metastasis
AARS2	-2.794637999716455	0.0056504093201169645	0.23351083759057914	0.021417419066057913	is_metastasis
AARSD1	-0.4684900914063659	0.6398938266991638	1.3959040466944147e-4	0.744626737513779	is_metastasis
AASDH	-0.026880263058539633	0.9785793830782132	0.13222797634194694	0.9858214725471572	is_metastasis
AASDHPPT	2.0633480520589895	0.040242660415568954	0.8115184610886435	0.09570934227182645	is_metastasis
AASS	-3.127842287805841	0.00199677986309752	0.20142216518720943	0.00973989496157628	is_metastasis
AATF	-1.2821903831022925	0.20111317709410073	8.234770663590063e-5	0.32442797447374644	is_metastasis
AATK	-3.063186030940058	0.0024631876586195573	9.057951930410737e-5	0.011425824487420548	is_metastasis
ABAT	-0.06515037778995486	0.9481128992840828	0.881476639930431	0.9671546118979374	is_metastasis
ABCA1	0.6941027705119245	0.48834344570169264	0.6988262644708119	0.6201239001644344	is_metastasis
ABCA10	-1.782799655113817	0.07598534744759441	0.037660614164699534	0.1553271111851492	is_metastasis
