gene	t	p	model_p	fdr	variable
A1BG	-5.169416426950864	8.790478530151184e-7	0.0012376091808402087	3.993405011182801e-6	is_normal
A1BG-AS1	-2.543321928717251	0.012170573707257331	2.305842316108295e-6	0.02337254356536799	is_normal
A1CF	3.5434146270269484	5.520255504610011e-4	0.004694785385436079	0.0014413830011295958	is_normal
A2M	-5.6123700799620595	1.1804213633435719e-7	6.982675910891993e-9	6.25827609188774e-7	is_normal
A2M-AS1	-2.850568181884602	0.0050885874463944426	4.695443704432254e-9	0.010728211397243994	is_normal
A4GALT	0.6062083008578922	0.5454500122757943	0.011080796656856483	0.6202777253865795	is_normal
A4GNT	6.865675848701757	2.5645893849096825e-10	3.797872691997437e-11	2.0487638102124287e-9	is_normal
AAAS	1.1415473170328392	0.2557733315920751	0.1503478037880254	0.3311307109596254	is_normal
AACS	0.6159540906760269	0.5390186034491222	1.1489855687375421e-7	0.6148494544119338	is_normal
AACSP1	1.3115083677689938	0.1920336773109488	0.046043854507645594	0.2603057503526251	is_normal
AADACL2-AS1	2.434953262943123	0.0162717360435209	0.6905296094617976	0.03018313865016408	is_normal
AADAT	2.785739233448158	0.0061529143928253744	2.065162577225819e-9	0.012747261044353893	is_normal
AAGAB	1.2287921164031566	0.22140410030950894	0.13196779636076536	0.29381547994741497	is_normal
AAK1	4.119868571615768	6.75953320351903e-5	3.096087497009862e-11	2.1400885622105184e-4	is_normal
AAMDC	1.9660166896843967	0.05146110389515182	0.0027865287884276738	0.08331685157289516	is_normal
AAMP	2.180799870410409	0.031026165343020346	9.357377430592304e-6	0.053423841888299455	is_normal
AAR2	-1.1544158436625493	0.25048047047037597	3.697795038709205e-5	0.32550449925014185	is_normal
AARD	0.6382157364005421	0.5244734428799341	9.1093472892959e-5	0.6013734546024436	is_normal
AARS2	3.718093417236786	2.98991687952699e-4	3.760673704498867e-15	8.284291912366171e-4	is_normal
AARSD1	-0.4136130018737262	0.6798497127781535	3.871352310905051e-9	0.7396882452493622	is_normal
AASDH	2.040758030296785	0.04333103807797312	0.976241482711383	0.071568329652461	is_normal
AASDHPPT	1.1043777967801907	0.2715010075798645	0.18817147478009277	0.3485349787691797	is_normal
AASS	11.148000177016154	1.377276533792148e-20	1.4931916113843685e-38	6.084194643949514e-19	is_normal
AATF	-1.8232336594185607	0.07060140145002972	3.0523563523468467e-12	0.10964458334073383	is_normal
AATK	-1.2731989943892839	0.20525488646140402	0.138846465088306	0.27547160571562906	is_normal
ABAT	9.15565539979944	1.103029176507962e-15	8.586297040407769e-24	2.0292280881658224e-14	is_normal
ABCA1	-6.767311149663914	4.2365741453563474e-10	6.4428341362325176e-27	3.2911688454444128e-9	is_normal
ABCA10	11.226164852326548	8.820944028484586e-21	3.8080095892803314e-43	4.022807224899831e-19	is_normal
