Hallmark	Functional_group
adipogenesis	development
allograft_rejection	immune
angiogenesis	development
apical_junction	cellular_component
apical_surface	cellular_component
apoptosis	pathway
bile_acid_metabolism	metabolic
cholesterol_homeostasis	metabolic
coagulation	immune
complement	immune
dna_repair	dna_damage
e2f_targets	proliferation
epithelial_mesenchymal_transition	development
estrogen_response_early	signaling
estrogen_response_late	signaling
fatty_acid_metabolism	metabolic
g2m_checkpoint	proliferation
glycolysis	metabolic
hedgehog_signaling	signaling
heme_metabolism	metabolic
hypoxia	pathway
il2_stat5_signaling	signaling
il6_jak_stat3_signaling	immune
inflammatory_response	immune
interferon_alpha_response	immune
interferon_gamma_response	immune
kras_signaling_dn	signaling
kras_signaling_up	signaling
mitotic_spindle	proliferation
mtorc1_signaling	signaling
myc_targets_v1	proliferation
myc_targets_v2	proliferation
myogenesis	development
notch_signaling	signaling
oxidative_phosphorylation	metabolic
p53_pathway	proliferation
pancreas_beta_cells	development
peroxisome	cellular_component
pi3k_akt_mtor_signaling	signaling
protein_secretion	pathway
reactive_oxygen_species_pathway	pathway
spermatogenesis	development
tgf_beta_signaling	signaling
tnfa_signaling_via_nfkb	signaling
unfolded_protein_response	pathway
uv_response_dn	dna_damage
uv_response_up	dna_damage
wnt_beta_catenin_signaling	signaling
xenobiotic_metabolism	metabolic
