pat	smp1	smp2	clonal_dist	td	pd
K021	K021_R1	K021_R5	1	0.2233203761231275	0.27
K021	K021_R1	K021_R5	1	0.2233203761231275	0.27
K021	K021_R1	K021_R5	1	0.2233203761231275	0.27
K023	K023_R2	K023_R4	1	0.2980704207516074	0.039999999999999925
K023	K023_R2	K023_R4	1	0.2980704207516074	0.039999999999999925
K029	K029_R1	K029_R10	1	0.06238337140193073	0
K029	K029_R1	K029_R10	1	0.06238337140193073	0
K029	K029_R1	K029_R10	1	0.06238337140193073	0
K029	K029_R1	K029_R10	1	0.06238337140193073	0
K029	K029_R1	K029_R9	0	0.23451504516961308	0.14
K029	K029_R1	K029_R9	0	0.23451504516961308	0.14
K029	K029_R1	K029_R9	0	0.23451504516961308	0.14
K029	K029_R1	K029_R9	0	0.23451504516961308	0.14
K029	K029_R10	K029_R9	0	0.26516651277711345	0.14
K029	K029_R10	K029_R9	0	0.26516651277711345	0.14
K029	K029_R10	K029_R9	0	0.26516651277711345	0.14
K059	K059_R13	K059_R4	1	0.15268157284174544	0.13
K059	K059_R13	K059_R4	1	0.15268157284174544	0.13
K059	K059_R13	K059_R9	1	0.24223183353946898	0.26999999999999996
K059	K059_R13	K059_R9	1	0.24223183353946898	0.26999999999999996
K059	K059_R4	K059_R9	1	0.16284750779508628	0.13999999999999996
K059	K059_R4	K059_R9	1	0.16284750779508628	0.13999999999999996
K065	K065_R5	K065_R8	0	0.07171134042733252	0.15999999999999992
K066	K066_R1	K066_R3	2	0.5067211452945526	0.24
K066	K066_R1	K066_R3	2	0.5067211452945526	0.24
K066	K066_R1	K066_R3	2	0.5067211452945526	0.24
K066	K066_R1	K066_R7	1	0.2346304513346129	0.12
K066	K066_R1	K066_R7	1	0.2346304513346129	0.12
K066	K066_R1	K066_R7	1	0.2346304513346129	0.12
K066	K066_R3	K066_R7	2	0.5550394664990554	0.12
K066	K066_R3	K066_R7	2	0.5550394664990554	0.12
K066	K066_R3	K066_R7	2	0.5550394664990554	0.12
K071	K071_R1	K071_R10	2	0.14111060034014544	0.14
K071	K071_R1	K071_R10	2	0.14111060034014544	0.14
K071	K071_R1	K071_R10	2	0.14111060034014544	0.14
K071	K071_R1	K071_R12	2	0.16603846514177079	0.10999999999999999
K071	K071_R1	K071_R12	2	0.16603846514177079	0.10999999999999999
K071	K071_R1	K071_R12	2	0.16603846514177079	0.10999999999999999
K071	K071_R1	K071_R5	2	0.25672851504090133	0.010000000000000009
K071	K071_R1	K071_R5	2	0.25672851504090133	0.010000000000000009
K071	K071_R1	K071_R5	2	0.25672851504090133	0.010000000000000009
K071	K071_R1	K071_R9	2	0.18221831188214876	0.07000000000000006
K071	K071_R1	K071_R9	2	0.18221831188214876	0.07000000000000006
K071	K071_R1	K071_R9	2	0.18221831188214876	0.07000000000000006
K071	K071_R10	K071_R12	2	0.1368527377225388	0.030000000000000027
K071	K071_R10	K071_R12	2	0.1368527377225388	0.030000000000000027
K071	K071_R10	K071_R12	2	0.1368527377225388	0.030000000000000027
K071	K071_R10	K071_R5	1	0.26714032272883204	0.13
K071	K071_R10	K071_R5	1	0.26714032272883204	0.13
K071	K071_R10	K071_R5	1	0.26714032272883204	0.13
K071	K071_R10	K071_R9	1	0.12588585338493852	0.06999999999999995
K071	K071_R10	K071_R9	1	0.12588585338493852	0.06999999999999995
K071	K071_R10	K071_R9	1	0.12588585338493852	0.06999999999999995
K071	K071_R12	K071_R5	2	0.32609022020319756	0.09999999999999998
K071	K071_R12	K071_R5	2	0.32609022020319756	0.09999999999999998
K071	K071_R12	K071_R5	2	0.32609022020319756	0.09999999999999998
K071	K071_R12	K071_R9	2	0.13145788247420165	0.039999999999999925
K071	K071_R12	K071_R9	2	0.13145788247420165	0.039999999999999925
K071	K071_R12	K071_R9	2	0.13145788247420165	0.039999999999999925
K071	K071_R5	K071_R9	1	0.3379433208553967	0.06000000000000005
K071	K071_R5	K071_R9	1	0.3379433208553967	0.06000000000000005
K071	K071_R5	K071_R9	1	0.3379433208553967	0.06000000000000005
K096	K096_R14	K096_R7	1	0.3366194046643033	0.18
K096	K096_R14	K096_R7	1	0.3366194046643033	0.18
K096	K096_R14	K096_R7	1	0.3366194046643033	0.18
K096	K096_R14	K096_R9	1	0.1878990279164342	0.16999999999999998
K096	K096_R14	K096_R9	1	0.1878990279164342	0.16999999999999998
K096	K096_R14	K096_R9	1	0.1878990279164342	0.16999999999999998
K096	K096_R14	K096_R9	1	0.1878990279164342	0.16999999999999998
K096	K096_R7	K096_R9	2	0.41937466298760306	0.010000000000000009
K096	K096_R7	K096_R9	2	0.41937466298760306	0.010000000000000009
K096	K096_R7	K096_R9	2	0.41937466298760306	0.010000000000000009
K096	K096_R7	K096_R9	2	0.41937466298760306	0.010000000000000009
K098	K098_R1	K098_R2	2	0.19373423877310592	0.13999999999999999
K098	K098_R1	K098_R2	2	0.19373423877310592	0.13999999999999999
K098	K098_R1	K098_R2	2	0.19373423877310592	0.13999999999999999
K098	K098_R1	K098_R3	3	0.1673536935493991	0.02999999999999997
K098	K098_R1	K098_R3	3	0.1673536935493991	0.02999999999999997
K098	K098_R1	K098_R3	3	0.1673536935493991	0.02999999999999997
K098	K098_R1	K098_R3	3	0.1673536935493991	0.02999999999999997
K098	K098_R1	K098_R5	3	0.27659927939156825	0.030000000000000027
K098	K098_R1	K098_R5	3	0.27659927939156825	0.030000000000000027
K098	K098_R1	K098_R5	3	0.27659927939156825	0.030000000000000027
K098	K098_R1	K098_R5	3	0.27659927939156825	0.030000000000000027
K098	K098_R2	K098_R3	2	0.09146336165242819	0.11000000000000001
K098	K098_R2	K098_R3	2	0.09146336165242819	0.11000000000000001
K098	K098_R2	K098_R3	2	0.09146336165242819	0.11000000000000001
K098	K098_R2	K098_R3	2	0.09146336165242819	0.11000000000000001
K098	K098_R2	K098_R5	2	0.19341106807716324	0.17
K098	K098_R2	K098_R5	2	0.19341106807716324	0.17
K098	K098_R2	K098_R5	2	0.19341106807716324	0.17
K098	K098_R2	K098_R5	2	0.19341106807716324	0.17
K098	K098_R3	K098_R5	1	0.16548992000168083	0.06
K098	K098_R3	K098_R5	1	0.16548992000168083	0.06
K098	K098_R3	K098_R5	1	0.16548992000168083	0.06
K098	K098_R3	K098_R5	1	0.16548992000168083	0.06
K099	K099_R1	K099_R3	1	0.12760511627420823	0.03999999999999998
K099	K099_R1	K099_R3	1	0.12760511627420823	0.03999999999999998
K099	K099_R1	K099_R6	1	0.17328315057815757	0.020000000000000018
K099	K099_R1	K099_R6	1	0.17328315057815757	0.020000000000000018
K099	K099_R3	K099_R6	0	0.09935220924090749	0.06
K099	K099_R3	K099_R6	0	0.09935220924090749	0.06
K104	K104_R2	K104_R3	1	0.27636603851747565	0.07999999999999996
K104	K104_R2	K104_R3	1	0.27636603851747565	0.07999999999999996
K107	K107_R1	K107_R7	2	0.2358105160096251	0.010000000000000009
K107	K107_R1	K107_R7	2	0.2358105160096251	0.010000000000000009
K107	K107_R1	K107_R7	2	0.2358105160096251	0.010000000000000009
K107	K107_R1	K107_R7	2	0.2358105160096251	0.010000000000000009
K119	K119_R2	K119_R4	1	0.39368602915474804	0.12
K119	K119_R2	K119_R4	1	0.39368602915474804	0.12
K128	K128_R11	K128_R65	0	0.312218902573013	0.16999999999999998
K128	K128_R11	K128_R65	0	0.312218902573013	0.16999999999999998
K128	K128_R11	K128_R65	0	0.312218902573013	0.16999999999999998
K128	K128_R11	K128_R65	0	0.312218902573013	0.16999999999999998
K128	K128_R11	K128_R65	0	0.312218902573013	0.16999999999999998
K128	K128_R11	K128_R73	1	0.45557038507302827	0.44
K128	K128_R11	K128_R73	1	0.45557038507302827	0.44
K128	K128_R11	K128_R73	1	0.45557038507302827	0.44
K128	K128_R11	K128_R73	1	0.45557038507302827	0.44
K128	K128_R11	K128_R73	1	0.45557038507302827	0.44
K128	K128_R65	K128_R73	1	0.2441531863828852	0.27
K128	K128_R65	K128_R73	1	0.2441531863828852	0.27
K136	K136_R2	K136_R5	1	0.5718719822787838	0.14
K136	K136_R2	K136_R5	1	0.5718719822787838	0.14
K143	K143_R1	K143_R2	1	0.10303181352556978	0.019999999999999962
K143	K143_R1	K143_R2	1	0.10303181352556978	0.019999999999999962
K145	K145_R2	K145_R5	0	0.12647411173484147	NA
K145	K145_R2	K145_R5	0	0.12647411173484147	NA
K153	K153_R26	K153_R4	0	0.06995907952589875	0.09
K153	K153_R26	K153_R4	0	0.06995907952589875	0.09
K153	K153_R26	K153_R54	2	0.6565933285922165	0.03999999999999998
K153	K153_R26	K153_R54	2	0.6565933285922165	0.03999999999999998
K153	K153_R26	K153_R54	2	0.6565933285922165	0.03999999999999998
K153	K153_R26	K153_R55	2	0.5712102745139689	0.04999999999999999
