sample1	sample2	t_d
K021-R1	K021-R5	0.2233203761231275
K021-R5	K021-R1	0.2233203761231275
K021-R1	K021-R5	0.2233203761231275
K021-R5	K021-R1	0.2233203761231275
K023-R2	K023-R4	0.2980704207516074
K023-R4	K023-R2	0.2980704207516074
K023-R2	K023-R4	0.2980704207516074
K023-R4	K023-R2	0.2980704207516074
K032-R3	K032-R4	0.17324513630491767
K032-R4	K032-R3	0.17324513630491767
K032-R3	K032-R4	0.17324513630491767
K032-R4	K032-R3	0.17324513630491767
K059-R13	K059-R4	0.15268157284174544
K059-R13	K059-R9	0.24223183353946898
K059-R4	K059-R13	0.15268157284174544
K059-R4	K059-R9	0.16284750779508628
K059-R9	K059-R13	0.24223183353946898
K059-R9	K059-R4	0.16284750779508628
K059-R13	K059-R4	0.15268157284174544
K059-R13	K059-R9	0.24223183353946898
K059-R4	K059-R13	0.15268157284174544
K059-R4	K059-R9	0.16284750779508628
K059-R9	K059-R13	0.24223183353946898
K059-R9	K059-R4	0.16284750779508628
K065-R5	K065_R8	0.07171134042733252
K065_R8	K065-R5	0.07171134042733252
K065-R5	K065_R8	0.07171134042733252
K065_R8	K065-R5	0.07171134042733252
K066-R1	K066-R3	0.5067211452945526
K066-R1	K066-R7	0.2346304513346129
K066-R3	K066-R1	0.5067211452945526
K066-R3	K066-R7	0.5550394664990554
K066-R7	K066-R1	0.2346304513346129
K066-R7	K066-R3	0.5550394664990554
K066-R1	K066-R3	0.5067211452945526
K066-R1	K066-R7	0.2346304513346129
K066-R3	K066-R1	0.5067211452945526
K066-R3	K066-R7	0.5550394664990554
K066-R7	K066-R1	0.2346304513346129
K066-R7	K066-R3	0.5550394664990554
K070-R14	K070-R16	0.25313554276470795
K070-R14	K070-R4	0.5245955834171996
K070-R14	K070-R9	0.26371193725163933
K070-R16	K070-R14	0.25313554276470795
K070-R16	K070-R4	0.2583664149592081
K070-R16	K070-R9	0.1415875450492704
K070-R4	K070-R14	0.5245955834171996
K070-R4	K070-R16	0.2583664149592081
K070-R4	K070-R9	0.29384354745824803
K070-R9	K070-R14	0.26371193725163933
K070-R9	K070-R16	0.1415875450492704
K070-R9	K070-R4	0.29384354745824803
K070-R14	K070-R16	0.25313554276470795
K070-R14	K070-R4	0.5245955834171996
K070-R14	K070-R9	0.26371193725163933
K070-R16	K070-R14	0.25313554276470795
K070-R16	K070-R4	0.2583664149592081
K070-R16	K070-R9	0.1415875450492704
K070-R4	K070-R14	0.5245955834171996
K070-R4	K070-R16	0.2583664149592081
K070-R4	K070-R9	0.29384354745824803
K070-R9	K070-R14	0.26371193725163933
K070-R9	K070-R16	0.1415875450492704
K070-R9	K070-R4	0.29384354745824803
K071-R1	K071-R10	0.14111060034014544
K071-R1	K071-R12	0.16603846514177079
K071-R1	K071-R9	0.18221831188214876
K071-R10	K071-R1	0.14111060034014544
K071-R10	K071-R12	0.1368527377225388
K071-R10	K071-R9	0.12588585338493852
K071-R12	K071-R1	0.16603846514177079
K071-R12	K071-R10	0.1368527377225388
K071-R12	K071-R9	0.13145788247420165
K071-R9	K071-R1	0.18221831188214876
K071-R9	K071-R10	0.12588585338493852
K071-R9	K071-R12	0.13145788247420165
K071-R1	K071-R10	0.14111060034014544
K071-R1	K071-R12	0.16603846514177079
K071-R1	K071-R9	0.18221831188214876
K071-R10	K071-R1	0.14111060034014544
K071-R10	K071-R12	0.1368527377225388
K071-R10	K071-R9	0.12588585338493852
K071-R12	K071-R1	0.16603846514177079
K071-R12	K071-R10	0.1368527377225388
K071-R12	K071-R9	0.13145788247420165
K071-R5	K071-R1	0.25672851504090133
K071-R5	K071-R10	0.26714032272883204
K071-R5	K071-R12	0.32609022020319756
K071-R5	K071-R9	0.3379433208553967
K071-R9	K071-R1	0.18221831188214876
K071-R9	K071-R10	0.12588585338493852
K071-R9	K071-R12	0.13145788247420165
K096-R7	K096-R9	0.41937466298760306
K096-R9	K096-R7	0.41937466298760306
K096-R14	K096-R7	0.3366194046643033
K096-R14	K096-R9	0.1878990279164342
K096-R7	K096-R9	0.41937466298760306
K096-R9	K096-R7	0.41937466298760306
K098-R1	K098-R2	0.19373423877310592
K098-R1	K098-R3	0.1673536935493991
K098-R1	K098-R5	0.27659927939156825
K098-R2	K098-R1	0.19373423877310592
K098-R2	K098-R3	0.09146336165242819
K098-R2	K098-R5	0.19341106807716324
K098-R3	K098-R1	0.1673536935493991
K098-R3	K098-R2	0.09146336165242819
K098-R3	K098-R5	0.16548992000168083
K098-R5	K098-R1	0.27659927939156825
K098-R5	K098-R2	0.19341106807716324
K098-R5	K098-R3	0.16548992000168083
K098-R1	K098-R2	0.19373423877310592
K098-R1	K098-R3	0.1673536935493991
K098-R1	K098-R5	0.27659927939156825
K098-R2	K098-R1	0.19373423877310592
K098-R2	K098-R3	0.09146336165242819
K098-R2	K098-R5	0.19341106807716324
K098-R3	K098-R1	0.1673536935493991
K098-R3	K098-R2	0.09146336165242819
K098-R3	K098-R5	0.16548992000168083
K098-R5	K098-R1	0.27659927939156825
K098-R5	K098-R2	0.19341106807716324
K098-R5	K098-R3	0.16548992000168083
K099-R1	K099-R3	0.12760511627420823
K099-R1	K099-R6	0.17328315057815757
K099-R3	K099-R1	0.12760511627420823
K099-R3	K099-R6	0.09935220924090749
K099-R6	K099-R1	0.17328315057815757
K099-R6	K099-R3	0.09935220924090749
K099-R1	K099-R3	0.12760511627420823
K099-R1	K099-R6	0.17328315057815757
K099-R3	K099-R1	0.12760511627420823
K099-R3	K099-R6	0.09935220924090749
K099-R6	K099-R1	0.17328315057815757
K099-R6	K099-R3	0.09935220924090749
K104-R2	K104-R3	0.27636603851747565
K104-R3	K104-R2	0.27636603851747565
K104-R2	K104-R3	0.27636603851747565
K104-R3	K104-R2	0.27636603851747565
K107-R1	K107-R7	0.2358105160096251
K107-R7	K107-R1	0.2358105160096251
K107-R1	K107-R7	0.2358105160096251
K107-R7	K107-R1	0.2358105160096251
K119-R2	K119-R4	0.39368602915474804
K119-R4	K119-R2	0.39368602915474804
K119-R2	K119-R4	0.39368602915474804
K119-R4	K119-R2	0.39368602915474804
K128-R11	K128-R65	0.312218902573013
K128-R11	K128-R73	0.45557038507302827
K128-R65	K128-R11	0.312218902573013
K128-R65	K128-R73	0.2441531863828852
K128-R73	K128-R11	0.45557038507302827
K128-R73	K128-R65	0.2441531863828852
K128-R11	K128-R65	0.312218902573013
K128-R11	K128-R73	0.45557038507302827
K128-R65	K128-R11	0.312218902573013
K128-R65	K128-R73	0.2441531863828852
K128-R73	K128-R11	0.45557038507302827
K128-R73	K128-R65	0.2441531863828852
K136-R2	K136-R5	0.5718719822787838
