sample1	sample2	t_d
K059-R13	K059-R4	0.1328542249783421
K059-R13	K059-R9	0.20132417737854735
K059-R4	K059-R13	0.1328542249783421
K059-R4	K059-R9	0.1322932361864695
K059-R9	K059-R13	0.20132417737854735
K059-R9	K059-R4	0.1322932361864695
K059_N1t1	K059-R13	0.6842178992340506
K059_N1t1	K059-R4	0.7388917532568481
K059_N1t1	K059-R9	0.6884712049114401
K071-R1	K071-R10	0.12488496337007515
K071-R1	K071-R12	0.14842496044774578
K071-R1	K071-R9	0.16716695304878182
K071-R10	K071-R1	0.12488496337007515
K071-R10	K071-R12	0.11613221524650907
K071-R10	K071-R9	0.11379862329598434
K071-R12	K071-R1	0.14842496044774578
K071-R12	K071-R10	0.11613221524650907
K071-R12	K071-R9	0.11556775712153189
K071-R9	K071-R1	0.16716695304878182
K071-R9	K071-R10	0.11379862329598434
K071-R9	K071-R12	0.11556775712153189
K071_N1t1	K071-R1	0.484027993007894
K071_N1t1	K071-R10	0.4971864548110865
K071_N1t1	K071-R12	0.46551959031226264
K071_N1t1	K071-R9	0.4471894931915087
K096-R7	K096-R9	0.37141655562792886
K096-R9	K096-R7	0.37141655562792886
K096_N1t1	K096-R7	0.7358364940285256
K096_N1t1	K096-R9	0.4826970412626167
K098-R1	K098-R2	0.19240134056699598
K098-R1	K098-R3	0.16547299600251586
K098-R1	K098-R5	0.2630077812120688
K098-R2	K098-R1	0.19240134056699598
K098-R2	K098-R3	0.08713194916365641
K098-R2	K098-R5	0.18518175548548066
K098-R3	K098-R1	0.16547299600251586
K098-R3	K098-R2	0.08713194916365641
K098-R3	K098-R5	0.1573653281948595
K098-R5	K098-R1	0.2630077812120688
K098-R5	K098-R2	0.18518175548548066
K098-R5	K098-R3	0.1573653281948595
K098_N1t1	K098-R1	0.8072604826495202
K098_N1t1	K098-R2	0.7925113417763564
K098_N1t1	K098-R3	0.7590932338957183
K098_N1t1	K098-R5	0.7026109000570306
K169-R10	K169-R2	0.6508206938218808
K169-R10	K169-R8	0.5820944349508319
K169-R2	K169-R10	0.6508206938218808
K169-R2	K169-R8	0.20600814822657199
K169-R8	K169-R10	0.5820944349508319
K169-R8	K169-R2	0.20600814822657199
K169_N1t1	K169-R10	0.6438046518671593
K169_N1t1	K169-R2	0.3916535149780499
K169_N1t1	K169-R8	0.4670074417237319
K191-R3	K191-R7	0.1501320913254861
K191-R3	K191-R8	0.13605182799433302
K191-R7	K191-R3	0.1501320913254861
K191-R7	K191-R8	0.13708387464483118
K191-R8	K191-R3	0.13605182799433302
K191-R8	K191-R7	0.13708387464483118
K191_N1t1	K191-R3	0.518678450124427
K191_N1t1	K191-R7	0.5776048855533932
K191_N1t1	K191-R8	0.596177387655628
K206-R5	K206-R7	0.22382061973417955
K206-R5	K206-R9	0.7789996841411039
K206-R7	K206-R5	0.22382061973417955
K206-R7	K206-R9	0.6335620441325738
K206-R9	K206-R5	0.7789996841411039
K206-R9	K206-R7	0.6335620441325738
K206_N1t1	K206-R5	0.47194730743733004
K206_N1t1	K206-R7	0.42980800760039184
K206_N1t1	K206-R9	0.866889335769323
K220-R11	K220-R14	0.5119964685181091
K220-R11	K220-R4	0.49642420266395726
