Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Num Detections	Num Negative	Positive %	Area µm^2	Perimeter µm	Num Positive	Num Positive per mm^2
K360_PR001_CD3	Tissue_area	Tissue_area	Image	Polygon	1005.9	1336.4	39762	39762	0	2288822.2	7610.8		
K360_PR001_CD3	Fibrosis	Fibrosis	Tissue_area	Geometry	1455.6	929.66	1143	1143	0	257947.4	4343.8		
K360_PR001_CD3	tumour_immune	tumour_immune	Image	Geometry	948.78	1388	38619	38619	0	2030874.6	8494.7		
K360_PR001_CD3	diffuse	diffuse	Image	Geometry	948.78	1388	38619	38619	0	2030874.6	8494.7		
K360_PR001_CD3	peri-tumoural_immune	peri-tumoural_immune	Image	Geometry	1455.6	929.66	1143	1143	0	257947.4	4343.8		
K360_PR002_CD3	tumour_immune	tumour_immune	Image	Geometry	1887.5	3753.9	156192	150404	3.706	15276911.8	23192.8	5788	378.87
K360_PR002_CD3	Tissue_area	Tissue_area	Image	Geometry	1887.5	3753.9	156192	150404	3.706	15276911.8	23192.8	5788	378.87
K360_PR002_CD3	diffuse	diffuse	Image	Geometry	1887.5	3753.9	156192	150404	3.706	15276911.8	23192.8	5788	378.87
K360_PR003_CD3	Tissue_area	Tissue_area	Image	Geometry	2240.1	2282.7	122422	117318	4.169	11996131.8	17588.1	5104	425.47
K360_PR003_CD3	tumour_immune	tumour_immune	Image	Geometry	2240.1	2282.7	122422	117318	4.169	11996131.8	17588.1	5104	425.47
K360_PR003_CD3	diffuse	diffuse	Image	Geometry	2240.1	2282.7	122422	117318	4.169	11996131.8	17588.1	5104	425.47
K360_PR004_CD3	tumour_immune	tumour_immune	Image	Geometry	2450.7	1779.5	81358	78000	4.127	9060932.1	23816.8	3358	370.6
K360_PR004_CD3	Tissue_area	Tissue_area	Image	Geometry	2450.7	1779.5	81358	78000	4.127	9060932.1	23816.8	3358	370.6
K360_PR004_CD3	diffuse	diffuse	Image	Geometry	2450.7	1779.5	81358	78000	4.127	9060932.1	23816.8	3358	370.6
K360_PR005_CD3	Tissue_area	Tissue_area	Image	Geometry	1522.9	1945.6	76852	73804	3.966	6787422.7	13929.9	3048	449.07
K360_PR005_CD3	tumour_immune	tumour_immune	Image	Geometry	1522.9	1945.6	76852	73804	3.966	6787422.7	13929.9	3048	449.07
K360_PR005_CD3	diffuse	diffuse	Image	Geometry	1522.9	1945.6	76852	73804	3.966	6787422.7	13929.9	3048	449.07
K360_PR006_CD3	tumour_immune	tumour_immune	Image	Geometry	1818.6	2680.7	69454	65938	5.062	7351955.6	25576.9	3516	478.24
K360_PR006_CD3	Tissue_area	Tissue_area	Image	Geometry	1818.6	2680.7	69454	65938	5.062	7351955.6	25576.9	3516	478.24
K360_PR006_CD3	diffuse	diffuse	Image	Geometry	1818.6	2680.7	69454	65938	5.062	7351955.6	25576.9	3516	478.24
K360_PR007_CD3	tumour_immune	tumour_immune	Image	Polygon	1686.7	2506.4	110162	110010	0.138	10611932.7	13355.4	152	14.32
K360_PR007_CD3	Tissue_area	Tissue_area	Image	Polygon	1686.7	2506.4	110162	110010	0.138	10611932.7	13355.4	152	14.32
K360_PR007_CD3	diffuse	diffuse	Image	Polygon	1686.7	2506.4	110162	110010	0.138	10611932.7	13355.4	152	14.32
K360_PR008_CD3	tumour_immune	tumour_immune	Image	Polygon	2185.9	2561.6	139802	139340	0.3305	12143444.4	18562.7	462	38.05
K360_PR008_CD3	Tissue_area	Tissue_area	Image	Polygon	2185.9	2561.6	139802	139340	0.3305	12143444.4	18562.7	462	38.05
K360_PR008_CD3	diffuse	diffuse	Image	Polygon	2185.9	2561.6	139802	139340	0.3305	12143444.4	18562.7	462	38.05
K360_PR009_CD3	Tissue_area	Tissue_area	Image	Polygon	1686.1	2006.5	89972	89924	0.0533	6369777.7	11082.8	48	7.536
K360_PR009_CD3	tumour_immune	tumour_immune	Image	Polygon	1686.1	2006.5	89972	89924	0.0533	6369777.7	11082.8	48	7.536
K360_PR009_CD3	diffuse	diffuse	Image	Polygon	1686.1	2006.5	89972	89924	0.0533	6369777.7	11082.8	48	7.536
K360_PR010_CD3	Tissue_area	Tissue_area	Image	Geometry	1809.2	2408.7	90144	89886	0.2862	8670567.9	32666.2	258	29.76
K360_PR010_CD3	peri-tumoural_immune	peri-tumoural_immune	Tissue_area	Geometry	1918.6	2677.7	2367	2353	0.5915	1154836.6	16254.2	14	12.12
K360_PR010_CD3	tumour_immune	tumour_immune	Image	Geometry	1792.4	2367.4	87778	87534	0.278	7515974.4	36430	244	32.46
K360_PR010_CD3	diffuse	diffuse	Image	Geometry	1792.4	2367.4	87778	87534	0.278	7515974.4	36430	244	32.46
K360_PR010_CD3	Fibrosis	Fibrosis	Image	Geometry	1918.6	2677.7	2367	2353	0.5915	1154836.6	16254.2	14	12.12
K360_PR011_CD3	peri-tumoural_immune	peri-tumoural_immune	Image	Geometry	937.26	4486.5	1389	1383	0.432	607802.6	4708.4	6	9.872
K360_PR011_CD3	Fibrosis	Fibrosis	Image	Geometry	937.26	4486.5	1389	1383	0.432	607802.6	4708.4	6	9.872
K360_PR011_CD3	diffuse	diffuse	Image	Geometry	1537.1	2540.3	30355	30302	0.1746	5624214.4	12076.5	53	9.424
K360_PR011_CD3	tumour_immune	tumour_immune	Image	Geometry	1537.1	2540.3	30355	30302	0.1746	5624214.4	12076.5	53	9.424
K360_PR011_CD3	Tissue_area	Tissue_area	Image	Geometry	1478.5	2731.8	31711	31652	0.1861	6236811.8	14086.3	59	9.46
K360_PR012_CD3	tumour_immune	tumour_immune	Image	Geometry	2076.9	2832.8	141274	141166	0.0764	10559711.9	20355.6	108	10.23
K360_PR012_CD3	Tissue_area	Tissue_area	Image	Geometry	2076.9	2832.8	141274	141166	0.0764	10559711.9	20355.6	108	10.23
K360_PR012_CD3	diffuse	diffuse	Image	Geometry	2076.9	2832.8	141274	141166	0.0764	10559711.9	20355.6	108	10.23
K360_PR013_CD3	tumour_immune	tumour_immune	Image	Geometry	1673.7	1308.9	40038	38028	5.02	4366107.8	14880.5	2010	460.36
K360_PR013_CD3	Tissue_area	Tissue_area	Image	Geometry	1615.1	1490.9	42854	40751	4.907	5669866.9	10078.6	2103	370.91
K360_PR013_CD3	peri-tumoural_immune	peri-tumoural_immune	Tissue_area	Geometry	1419.2	2100.5	2816	2723	3.303	1303759.1	9006.5	93	71.33
K360_PR013_CD3	diffuse	diffuse	Image	Geometry	1673.7	1308.9	40038	38028	5.02	4366107.8	14880.5	2010	460.36
K360_PR013_CD3	Fibrosis	Fibrosis	Image	Geometry	1419.2	2100.5	2816	2723	3.303	1303759.1	9006.5	93	71.33
K360_PR014_CD3	tumour_immune	tumour_immune	Image	Polygon	1153.3	1634.6	36980	35968	2.737	2762712.9	12607.7	1012	366.31
K360_PR014_CD3	Tissue_area	Tissue_area	Image	Polygon	1153.3	1634.6	36980	35968	2.737	2762712.9	12607.7	1012	366.31
