Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Num Detections	Num Negative	Num Positive	Positive %	Num Positive per mm^2	Area µm^2	Perimeter µm
K239_PR001_PGM1	Tissue_area	Tissue_area	Image	Geometry	2511.9	2406.8	90350	80946	9404	10.41	944.31	9958599.4	21481.2
K239_PR001_PGM1	tumour_immune	tumour_immune	Image	Geometry	2511.9	2406.8	90350	80946	9404	10.41	944.31	9958599.4	21481.2
K239_PR001_PGM1	diffuse	diffuse	Image	Geometry	2511.9	2406.8	90350	80946	9404	10.41	944.31	9958599.4	21481.2
K239_PR002_PGM1	Tissue_area	Tissue_area	Image	Geometry	2306.7	6721	238406	207382	31024	13.01	1042.7	29752555.2	39794.2
K239_PR002_PGM1	Fibrosis	Fibrosis	Tissue_area	Geometry	1791.7	7255.1	8042	5654	2388	29.69	1372.7	1739647.6	19003
K239_PR002_PGM1	tumour_immune	tumour_immune	Image	Geometry	2338.7	6687.8	230364	201728	28636	12.43	1022.2	28012907.7	56248.6
K239_PR002_PGM1	diffuse	diffuse	Image	Geometry	2338.7	6687.8	230364	201728	28636	12.43	1022.2	28012907.7	56248.6
K239_PR003_PGM1	Tissue_area	Tissue_area	Image	Geometry	1778.2	2130.7	57879	46414	11465	19.81	1220.7	9391976.9	16513.1
K239_PR003_PGM1	tumour_immune	tumour_immune	Image	Geometry	1937.2	2151.4	54750	44195	10555	19.28	1338.3	7887078.8	27957.9
K239_PR003_PGM1	diffuse	diffuse	Image	Geometry	1937.2	2151.4	54750	44195	10555	19.28	1338.3	7887078.8	27957.9
K239_PR003_PGM1	peri-tumoural_immune	peri-tumoural_immune	Image	Geometry	944.82	2022.2	3129	2219	910	29.08	604.69	1504898.1	18125.5
K239_PR003_PGM1	Fibrosis	Fibrosis	Image	Geometry	944.82	2022.2	3129	2219	910	29.08	604.69	1504898.1	18125.5
K239_PR004_PGM1	Tissue_area	Tissue_area	Image	Polygon	1694.2	2021.9	92248	72618	19630	21.28	2701.3	7266755.5	10396.1
K239_PR004_PGM1	tumour_immune	tumour_immune	Image	Polygon	1694.2	2021.9	92248	72618	19630	21.28	2701.3	7266755.5	10396.1
K239_PR004_PGM1	aggregates	aggregates	Image	Polygon	1694.2	2021.9	92248	72618	19630	21.28	2701.3	7266755.5	10396.1
K239_PR005_PGM1	tumour_immune	tumour_immune	Image	Polygon	1674.7	2301.1	82640	71454	11186	13.54	1416.1	7899288.7	13229
K239_PR005_PGM1	Tissue_area	Tissue_area	Image	Polygon	1674.7	2301.1	82640	71454	11186	13.54	1416.1	7899288.7	13229
K239_PR005_PGM1	diffuse	diffuse	Image	Polygon	1674.7	2301.1	82640	71454	11186	13.54	1416.1	7899288.7	13229
K239_PR006_PGM1	Tissue_area	Tissue_area	Image	Polygon	1440	2790.4	12409	7195	5214	42.02	746.85	6981333.3	14999.1
K239_PR006_PGM1	tumour_immune	tumour_immune	Image	Geometry	1970.7	4090.9	6448	3770	2678	41.53	1491.1	1796039.3	8946.8
K239_PR006_PGM1	Fibrosis	Fibrosis	Image	Geometry	1256.3	2339.9	5961	3425	2536	42.54	489.07	5185339.7	15282.6
K239_PR006_PGM1	diffuse	diffuse	Image	Geometry	1970.7	4090.9	6448	3770	2678	41.53	1491.1	1796039.3	8946.8
K239_PR006_PGM1	peri-tumoural_immune	peri-tumoural_immune	Image	Geometry	1585.5	3857.7	1647	850	797	48.39	629.69	1265703	9122.1
K239_PR007_PGM1	Tissue_area	Tissue_area	Image	Polygon	2728.7	2373.6	11194	8718	2476	22.12	177.43	13954733	15499.9
K239_PR007_PGM1	Fibrosis	Fibrosis	Image	Polygon	2728.7	2373.6	11194	8718	2476	22.12	177.43	13954733	15499.9
K239_PR008_PGM1	Tissue_area	Tissue_area	Image	Polygon	2273.6	2468.3	135146	113460	21686	16.05	2257	9608355.4	14467.7
K239_PR008_PGM1	tumour_immune	tumour_immune	Image	Polygon	2273.6	2468.3	135146	113460	21686	16.05	2257	9608355.4	14467.7
K239_PR008_PGM1	diffuse	diffuse	Image	Polygon	2273.6	2468.3	135146	113460	21686	16.05	2257	9608355.4	14467.7
K239_PR009_PGM1	Tissue_area	Tissue_area	Image	Polygon	1869	3406.9	118724	106730	11994	10.1	858.37	13972933.2	25101.9
K239_PR009_PGM1	tumour_immune	tumour_immune	Image	Polygon	1869	3406.9	118724	106730	11994	10.1	858.37	13972933.2	25101.9
K239_PR009_PGM1	diffuse	diffuse	Image	Polygon	1869	3406.9	118724	106730	11994	10.1	858.37	13972933.2	25101.9
K239_PR010_PGM1	Tissue_area	Tissue_area	Image	Geometry	2229.9	2731.7	97892	85556	12336	12.6	1011.6	12194822.7	34999.6
K239_PR010_PGM1	tumour_immune	tumour_immune	Image	Geometry	2229.9	2731.7	97892	85556	12336	12.6	1011.6	12194822.7	34999.6
K239_PR010_PGM1	diffuse	diffuse	Image	Geometry	2229.9	2731.7	97892	85556	12336	12.6	1011.6	12194822.7	34999.6
K239_PR011_PGM1	Tissue_area	Tissue_area	Image	Polygon	2022.4	2566.8	153006	143774	9232	6.034	690.68	13366488.8	17881.6
K239_PR011_PGM1	tumour_immune	tumour_immune	Image	Polygon	2022.4	2566.8	153006	143774	9232	6.034	690.68	13366488.8	17881.6
K239_PR011_PGM1	diffuse	diffuse	Image	Polygon	2022.4	2566.8	153006	143774	9232	6.034	690.68	13366488.8	17881.6
