Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Area µm^2	Perimeter µm	Num Detections	Num Negative	Num Positive	Positive %	Num Positive per mm^2
K360_PR002_PGM1	artefact	artefact	Image	Polygon	1497.8	3804.6	16079912.9	21828.4					
K360_PR002_PGM1	Tissue_area	Tissue_area	Image	Polygon	1497.8	3804.6	16079912.9	21828.4					
K360_PR003_PGM1	Tissue_area	Tissue_area	Image	Polygon	2191.2	2661	10792607.9	15635.7					
K360_PR003_PGM1	artefact	artefact	Image	Polygon	2191.2	2661	10792607.9	15635.7					
K360_PR004_PGM1	artefact	artefact	Image	Polygon	2155.3	2352.8	13756617.3	15527					
K360_PR004_PGM1	Tissue_area	Tissue_area	Image	Polygon	2155.3	2352.8	13756617.3	15527					
K360_PR005_PGM1	Tissue_area	Tissue_area	Image	Polygon	1659.7	2001.5	7098110.1	10750.3					
K360_PR005_PGM1	artefact	artefact	Image	Polygon	1659.7	2001.5	7098110.1	10750.3					
K360_PR006_PGM1	artefact	artefact	Image	Polygon	1927.9	2231	8933989.2	13279.2					
K360_PR006_PGM1	Tissue_area	Tissue_area	Image	Polygon	1927.9	2231	8933989.2	13279.2					
K360_PR007_PGM1	tumour_immune	tumour_immune	Image	Polygon	1876.8	2443.5	10211000.4	13238.1	93402	77268	16134	17.27	1580.1
K360_PR007_PGM1	Tissue_area	Tissue_area	Image	Polygon	1876.8	2443.5	10211000.4	13238.1	93402	77268	16134	17.27	1580.1
K360_PR007_PGM1	diffuse	diffuse	Image	Polygon	1876.8	2443.5	10211000.4	13238.1	93402	77268	16134	17.27	1580.1
K360_PR008_PGM1	Tissue_area	Tissue_area	Image	Polygon	2228.4	2468.4	11820555.5	17671.5	130542	86146	44396	34.01	3755.8
K360_PR008_PGM1	tumour_immune	tumour_immune	Image	Polygon	2228.4	2468.4	11820555.5	17671.5	130542	86146	44396	34.01	3755.8
K360_PR008_PGM1	diffuse	diffuse	Image	Polygon	2228.4	2468.4	11820555.5	17671.5	130542	86146	44396	34.01	3755.8
K360_PR009_PGM1	Tissue_area	Tissue_area	Image	Polygon	1537.6	2350.5	6079888.9	11085.2	79214	51882	27332	34.5	4495.5
K360_PR009_PGM1	tumour_immune	tumour_immune	Image	Polygon	1537.6	2350.5	6079888.9	11085.2	79214	51882	27332	34.5	4495.5
K360_PR009_PGM1	diffuse	diffuse	Image	Polygon	1537.6	2350.5	6079888.9	11085.2	79214	51882	27332	34.5	4495.5
K360_PR010_PGM1	Tissue_area	Tissue_area	Image	Geometry	2036.4	2642.5	8303285.5	38131	78819	49393	29426	37.33	3543.9
K360_PR010_PGM1	Fibrosis	Fibrosis	Tissue_area	Geometry	2047.3	2845.3	1197912.6	16049.6	1519	770	749	49.31	625.25
K360_PR010_PGM1	tumour_immune	tumour_immune	Image	Geometry	2034.6	2608.3	7105372.9	40873.8	77300	48623	28677	37.1	4036
K360_PR010_PGM1	diffuse	diffuse	Image	Geometry	2034.6	2608.3	7105372.9	40873.8	77300	48623	28677	37.1	4036
K360_PR010_PGM1	peri-tumoural_immune	peri-tumoural_immune	Image	Geometry	2047.3	2845.3	1197912.6	16049.6	1519	770	749	49.31	625.25
K360_PR011_PGM1	Tissue_area	Tissue_area	Image	Geometry	1693.2	2646.6	6052512.6	16106.9	56032	38757	17275	30.83	2854.2
K360_PR011_PGM1	peri-tumoural_immune	peri-tumoural_immune	Tissue_area	Geometry	902.81	4334.1	478040.8	5080.2	544	355	189	34.74	395.36
K360_PR011_PGM1	tumour_immune	tumour_immune	Image	Geometry	1761	2501.8	5574471.8	16178.6	55488	38402	17086	30.79	3065
K360_PR011_PGM1	diffuse	diffuse	Image	Geometry	1761	2501.8	5574471.8	16178.6	55488	38402	17086	30.79	3065
K360_PR011_PGM1	Fibrosis	Fibrosis	Image	Geometry	902.81	4334.1	478040.8	5080.2	544	355	189	34.74	395.36
K360_PR012_PGM1	Tissue_area	Tissue_area	Image	Geometry	2123.1	2905.2	10274222.8	19656.9	130784	70388	60396	46.18	5878.4
K360_PR012_PGM1	tumour_immune	tumour_immune	Image	Geometry	2123.1	2905.2	10274222.8	19656.9	130784	70388	60396	46.18	5878.4
K360_PR012_PGM1	aggregates	aggregates	Image	Geometry	2123.1	2905.2	10274222.8	19656.9	130784	70388	60396	46.18	5878.4
K360_PR013_PGM1	Tissue_area	Tissue_area	Image	Geometry	1515	1427.6	5276399.4	9811.7	29342	13724	15618	53.23	2960
K360_PR013_PGM1	Fibrosis	Fibrosis	Tissue_area	Geometry	1510.5	1516.1	1605292.9	11927.6	3560	1091	2469	69.35	1538
K360_PR013_PGM1	peri-tumoural_immune	peri-tumoural_immune	Fibrosis	Geometry	1510.5	1516.1	1605292.9	11927.6	3560	1091	2469	69.35	1538
K360_PR013_PGM1	tumour_immune	tumour_immune	Image	Geometry	1517	1388.9	3671106.4	17036.4	25782	12633	13149	51	3581.8
K360_PR013_PGM1	aggregates	aggregates	Image	Geometry	1517	1388.9	3671106.4	17036.4	25782	12633	13149	51	3581.8
K360_PR014_PGM1	Tissue_area	Tissue_area	Image	Geometry	1131.6	1664.1	2523000.3	11292.5	32784	18352	14432	44.02	5720.2
