Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Area µm^2	Perimeter µm
K376_PR001_PGM1	Tissue_area	Tissue_area	Image	Polygon	1238	2085.2	5553466.6	9546.7
K376_PR001_PGM1	tumour_immune	tumour_immune	Image	Polygon	1238	2085.2	5553466.6	9546.7
K376_PR001_PGM1	diffuse	diffuse	Image	Polygon	1238	2085.2	5553466.6	9546.7
K376_PR002_PGM1	Tissue_area	Tissue_area	Image	Geometry	1135.5	1781.8	3078710.5	12052.7
K376_PR002_PGM1	tumour_immune	tumour_immune	Image	Geometry	1135.5	1781.8	3078710.5	12052.7
K376_PR002_PGM1	diffuse	diffuse	Image	Geometry	1135.5	1781.8	3078710.5	12052.7
K376_PR003_PGM1	Tissue_area	Tissue_area	Image	Polygon	1784.9	2404.7	9580311.1	12609.7
K376_PR003_PGM1	tumour_immune	tumour_immune	Image	Polygon	1784.9	2404.7	9580311.1	12609.7
K376_PR003_PGM1	diffuse	diffuse	Image	Polygon	1784.9	2404.7	9580311.1	12609.7
K376_PR004_PGM1	Tissue_area	Tissue_area	Image	Polygon	2243.5	2137.1	7931888.9	14200.7
K376_PR004_PGM1	tumour_immune	tumour_immune	Image	Polygon	2243.5	2137.1	7931888.9	14200.7
K376_PR004_PGM1	diffuse	diffuse	Image	Polygon	2243.5	2137.1	7931888.9	14200.7
K376_PR005_PGM1	Tissue_area	Tissue_area	Image	Geometry	1888.8	1985.9	7863711.6	15942.9
K376_PR005_PGM1	Fibrosis	Fibrosis	Tissue_area	Geometry	2439.4	2456.6	3332031.9	17364.7
K376_PR005_PGM1	peri-tumoural_immune	peri-tumoural_immune	Fibrosis	Geometry	2447.2	2245.6	2587548	17265
K376_PR005_PGM1	tumour_immune	tumour_immune	Image	Geometry	1483.9	1639.8	4531680	17101.1
K376_PR005_PGM1	diffuse	diffuse	Image	Geometry	1483.9	1639.8	4531680	17101.1
K376_PR006_PGM1	Tissue_area	Tissue_area	Image	Polygon	1411.7	2162.9	4178089.1	12224.9
K376_PR006_PGM1	tumour_immune	tumour_immune	Image	Polygon	1411.7	2162.9	4178089.1	12224.9
K376_PR006_PGM1	diffuse	diffuse	Image	Polygon	1411.7	2162.9	4178089.1	12224.9
K376_PR007_PGM1	artefact	artefact	Image	Polygon	1734.4	2142.7	7749733.2	11617.2
K376_PR007_PGM1	Tissue_area	Tissue_area	Image	Polygon	1734.4	2142.7	7749733.2	11617.2
K376_PR008_PGM1	artefact	artefact	Image	Polygon	1241.8	2492.3	6143000	11241.3
K376_PR008_PGM1	Tissue_area	Tissue_area	Image	Polygon	1241.8	2492.3	6143000	11241.3
K376_PR009_PGM1	Tissue_area	Tissue_area	Image	Polygon	1541	1956.2	6937422.1	10071.8
K376_PR009_PGM1	artefact	artefact	Image	Polygon	1541	1956.2	6937422.1	10071.8
K376_PR010_PGM1	artefact	artefact	Image	Polygon	1442	2238.6	7984911.1	11518.2
K376_PR010_PGM1	Tissue_area	Tissue_area	Image	Polygon	1442	2238.6	7984911.1	11518.2
K376_PR011_PGM1	Tissue_area	Tissue_area	Image	Geometry	1844.3	2429.6	7767222.2	14567.4
K376_PR011_PGM1	artefact	artefact	Image	Geometry	1844.3	2429.6	7767222.2	14567.4
