sample	GOBP_METHYLATION	GOBP_REGULATION_OF_GENE_EXPRESSION_EPIGENETIC	GOBP_RNA_SPLICING	HALLMARK_ADIPOGENESIS	HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANGIOGENESIS	HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_SURFACE	HALLMARK_APOPTOSIS	HALLMARK_BILE_ACID_METABOLISM	HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_COAGULATION	HALLMARK_COMPLEMENT	HALLMARK_DNA_REPAIR	HALLMARK_E2F_TARGETS	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_G2M_CHECKPOINT	HALLMARK_GLYCOLYSIS	HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEME_METABOLISM	HALLMARK_HYPOXIA	HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_UP	HALLMARK_MITOTIC_SPINDLE	HALLMARK_MTORC1_SIGNALING	HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V2	HALLMARK_MYOGENESIS	HALLMARK_NOTCH_SIGNALING	HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_P53_PATHWAY	HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PEROXISOME	HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PROTEIN_SECRETION	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_SPERMATOGENESIS	HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_UP	HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_XENOBIOTIC_METABOLISM	motzer_angiogenesis	motzer_t_effector	motzer_FAO_AMPK	motzer_cell_cycle	motzer_FAS_pentose_phosphate	motzer_stroma	motzer_myeloid_inflammation	motzer_complement_cascade	motzer_omega_oxidation	mc_dermott_angiogenesis	mc_dermott_t_effector	mc_dermott_myeloid_inflammation	J101_immune_26genes	J101_angiogenesis	comparz_angio	cin70	braun_exhaustion	annelaure_exhaustion
G_K059_N1t1	0.26241018062514804	0.27573839695207447	0.45485459862761546	0.46050468478647727	0.19097911039581825	0.4144339944252871	0.3489328782962066	0.31406360644169895	0.2608510169695169	0.4001742280210198	0.224455171518691	0.4069639263213981	0.25470997061395156	0.26576022536240246	0.41797133483679916	0.28073253090076355	0.3640596427860291	0.27945387157565343	0.2755133396393209	0.42435811668012763	0.2475796115472133	0.3398793353229061	0.25256820616297815	0.30203682898483614	0.3913043067651632	0.2567476149592762	0.1566863583863106	0.13779681082223177	0.3930627503286566	0.3575613165233539	-0.10519546981830673	0.2567098983041101	0.34159875176479404	0.43978578289556863	0.5906143920902773	0.2917619653149702	0.2248271159546501	0.3467477720905102	0.6296526824105851	0.36674483400394225	-0.04003224352473986	0.3663530834836706	0.4037560647165956	0.5630772235347498	0.4532481945931452	-0.05435243097581319	0.4808898635705962	0.31115877901353783	0.4464040420015473	0.39638447456085585	0.35500439340429357	0.24279304950052963	0.3019652064663033	0.3647046170775437	-0.2908788917813651	0.5464010815111421	-0.04529893310629317	0.4716659688919183	0.39000148663632006	-0.06310121720757757	0.3615031850656211	-0.041821107972146124	0.3647046170775437	-0.2908788917813651	-0.037968007035591896	-0.18344619144169297	0.2994413972999311	0.49658986374890984	0.10351659943467113	-0.1229707654554718	-0.052872486555494584
G_K169_N1t1	0.24479110647928173	0.26421782053771303	0.43876322292377073	0.46064570122798787	0.30480270093573947	0.4612476979180491	0.3845267241340253	0.3249837136293066	0.2613677989821889	0.42747228762574296	0.22580108999690346	0.38480026460253586	0.3457989750292778	0.3550491258925666	0.41166163706210374	0.281328044481858	0.42974810542463093	0.3047673231726941	0.300084804799457	0.4350439075570538	0.2619075546096994	0.3634760693531066	0.253444429321449	0.31316420154116026	0.397123980938337	0.3260256093820155	0.24926892627082442	0.21389415716586252	0.4534796283430844	0.44159569775244206	-0.12731875072998003	0.3130387882669177	0.3741518346021208	0.4612694892653493	0.6023791248340101	0.3318851034625048	0.21973510290467138	0.3297874879746851	0.5941313232022599	0.3748574881724766	0.022818023245309953	0.37866678099647655	0.4173938050298636	0.5627341390010021	0.5030668895839865	-0.06431596249503709	0.5133796704118505	0.34727164262997867	0.47294728171409495	0.4214244028067297	0.3670349567420952	0.20007208966721415	0.35398208818481264	0.31613473968456585	-0.09532361170933015	0.43969221956073673	0.009683949813393915	0.47880002186572435	0.49612897380509374	-0.053070547932402005	0.5460953706180041	0.22951135286026703	0.31613473968456585	-0.09532361170933015	-0.00202293011036267	0.07814489152723388	0.16026975154656706	0.35704658476710893	0.1287525890384603	0.041762908469229386	0.10246136276400558
G_K191_N1t1	0.24807508467540412	0.23828794555061847	0.4110873272768543	0.49750578764741193	0.13705405981049207	0.4139911593555105	0.3328157877868413	0.2871732308786169	0.2831547785468476	0.35577379924832203	0.29134860183000005	0.4514481049214439	0.25120991826828043	0.24731321789020286	0.3981744506981216	0.21203912251687085	0.31199621906083086	0.3040114717629563	0.2845248568779782	0.5091851569879762	0.1895254936510225	0.3585423814777718	0.2458783389954757	0.3370378064504666	0.41638671590685367	0.2453026588181663	0.10034306772857565	0.10518567564341809	0.35548269170447083	0.32175000191949327	-0.05826037408568791	0.21486183062357075	0.30525228811631555	0.4586705530602065	0.5556647237981167	0.30119482145927495	0.253794459900316	0.3403559419462135	0.6612792120033857	0.36073771498862195	0.03558055625728353	0.4121964004893651	0.3861314642594616	0.4963841705648289	0.513338304026998	-0.06721702899932736	0.4601039138867975	0.3044063636691415	0.4259885583673899	0.3623065618274956	0.3814339465210442	0.2240911972730697	0.37662242734987483	0.3978333952683196	-0.304289008599397	0.6421386816850144	-0.10534047265538325	0.5280089517797434	0.3000834331283975	-0.017875416780430232	0.22353187312988973	0.25139627008479865	0.3978333952683196	-0.304289008599397	-0.018161639367460968	-0.147883263059688	0.2959342593055225	0.4239844572206604	0.0589837482274342	-0.12627478815395887	-0.08746412241861633
G_K206_N1t1	0.21572646583713112	0.22828567095715377	0.3961580367846031	0.5057970207160989	0.19423141885196304	0.47412247076313985	0.4081100425788641	0.30129758729383965	0.3070340495020138	0.4110782578735253	0.277531568270036	0.45074096755710596	0.33410171542213235	0.32888912319293895	0.3728061947391004	0.20213481707592004	0.3672213930486243	0.3308202411160845	0.32558862405723116	0.5031562237429295	0.18946181713148666	0.3638744221843193	0.2439491678124584	0.33340862381216785	0.42846846836824376	0.3038339690386281	0.1806974774660742	0.17932738559407865	0.400773413457811	0.3783029554068152	-0.06747786100622427	0.2712685400781863	0.32140831854095964	0.4785076857323706	0.555759439498199	0.2737108239530008	0.26120153198356816	0.3445904004562691	0.6488807673344443	0.38718723808323424	0.07664237482029033	0.41178903440744985	0.3972130803144734	0.5252139759963026	0.5104883904453115	-0.06262698497892615	0.5021894821719218	0.38905117068993184	0.44495132521469055	0.39155938768003185	0.4154937174350709	0.20821344449681384	0.40254972796692556	0.5533952308451885	-0.33214018588442656	0.6096950802752239	-0.07074393585595161	0.4971081468772635	0.3812169546229611	0.12176778495403977	0.4228252778254799	0.39926142753707566	0.5533952308451885	-0.33214018588442656	0.12691061028163755	-0.19314524380823192	0.3474807670389908	0.5175892437231218	0.047013426847911426	-0.12266431503517307	0.05513383660253735
G_K220_N1t1	0.23269087015823592	0.22875961876164244	0.4126684463956571	0.5078508407132879	0.21767519959299833	0.45775202647951496	0.40600475374976497	0.3161865467611494	0.29143558500511046	0.4129531355113671	0.2808464149709506	0.4322200608469717	0.35967126087557794	0.3436444742444467	0.4000212422132923	0.22586223459234459	0.3833397950238939	0.33230381780816126	0.3188691206662792	0.49700217384217044	0.21582233189920672	0.38502706992171326	0.2502375740986836	0.341872169321158	0.43905322014142506	0.3030272867413904	0.20800854170825794	0.17930380775768473	0.4173249186360683	0.3952617510420674	-0.08650941787844961	0.27453873324118105	0.33072065719319405	0.4854796826568137	0.5787141756324637	0.33392710128063485	0.26968275879413917	0.34040646956388404	0.6537563973448612	0.39992662702717274	0.051474716778048636	0.41684164298675347	0.40216603014895175	0.5233071422372854	0.5349596232060939	-0.07201397230058165	0.49375505241776446	0.3718570001353019	0.45752928540118404	0.3923498926697934	0.4121546805023147	0.23272608067398448	0.4092651737300661	0.5259292806295996	-0.2861742235122508	0.5632316958213249	-0.02687659241894766	0.5133689591556374	0.42890257802966236	0.07016475163958558	0.46244513068855214	0.34470436404183946	0.5259292806295996	-0.2861742235122508	0.06768267964432352	-0.18517301801297378	0.3230671714517751	0.47471473534322756	0.0939702308967793	-0.11800209862699193	0.053483317495500754
G_K239_N1t1	0.28039207213776307	0.3240453191987387	0.4720465590176301	0.38484615287643836	0.367777823304806	0.4341772673094548	0.35193828990277487	0.3458663995015497	0.25969866463931235	0.43941761500172877	0.14875728479668338	0.33729951604989183	0.2800523960520612	0.3504940745124567	0.40067944327218336	0.28700552340856605	0.41252815505956214	0.2535595081423139	0.24545745778567377	0.3337101277630976	0.28357733458688333	0.296067645933849	0.250003327156454	0.2647475641467153	0.3704841035876559	0.3378162207396095	0.29818166813458485	0.24405527093273832	0.4900441052808974	0.47662768423140184	-0.12628492803680094	0.3201016731635516	0.3939400834985583	0.4184349754811384	0.5761889869046829	0.2957661004104085	0.21489908117172918	0.30905560199568644	0.5029013533610917	0.38370783407972214	-0.06817057467130498	0.29669395148427646	0.42638324968348823	0.5472030394021142	0.4453639612485885	-0.06811674930987426	0.5244890114933223	0.38001415404236555	0.46845213490229937	0.44876812712969694	0.34428313933150945	0.2503136242738917	0.24927938121139842	0.22931160744811716	0.06038356956563988	0.35195401978696694	-0.026629538018440455	0.4302493851415521	0.5203961848080108	0.005359029622293079	0.4898163990859493	-0.03039557001436853	0.22931160744811716	0.06038356956563988	0.012482566973646088	0.31839282416979015	0.24626363332702836	0.4840752214505909	0.07756148285664217	0.21175999884236985	0.1737998088558806
G_K243_N1t1	0.23576924193976817	0.25014986288885704	0.41904948121875923	0.49065951806653235	0.2035727044336134	0.45832860495239464	0.3930806861017082	0.29519578231336424	0.29466149692900495	0.40497175494179183	0.25832403564193135	0.4209475236779464	0.28418732746541103	0.29404306125366664	0.3872208280459567	0.2345388912667287	0.37449582929975767	0.3063904038028458	0.30045633495140533	0.4877039096436196	0.21313729877773097	0.3521053640806251	0.2579770297315581	0.3284760580729708	0.42224102605645886	0.28215961397809747	0.1686219270421704	0.15543078515295317	0.3908078904678796	0.3652912367133221	-0.07823864625224014	0.2691092359053054	0.3223482735009182	0.4656834523791932	0.5688035844559889	0.26862856533650337	0.25007448317355263	0.33161864181402745	0.6509891919920339	0.37735913480207367	0.017799607280594452	0.38388500301244416	0.38649052897998154	0.5572494131464548	0.4740305131707629	-0.05644787062395015	0.4910934171493008	0.3716763944280196	0.4479409729770987	0.40162980148022054	0.3988413714442797	0.20209762170812637	0.36715345367015767	0.4399777465403161	-0.16697146727623732	0.6073876939432199	-0.08124239945728741	0.4488056575304172	0.37655034667138826	0.1432160004171982	0.33884651347171757	0.26899856280867857	0.4399777465403161	-0.16697146727623732	0.17508254002509474	-0.09807104888032205	0.3145467878369042	0.5024673996184255	0.06849838822768402	-0.08563232331328569	-0.013603696096449456
R_K071_N1t1	0.2178115723754847	0.21496811969905452	0.39600796687604034	0.5026350067790685	0.1878447209966464	0.44627107908372887	0.3813571839363394	0.2924103070450447	0.28967179754208605	0.3841452148491017	0.29238334397753185	0.40899544391874487	0.3355373458468952	0.3141381072458895	0.3694031918989991	0.19659605840824196	0.3305872361772744	0.300243504694452	0.2984349608265408	0.5031399014412751	0.18307071291106278	0.3576532305073489	0.23210380084426013	0.33770944997629043	0.3944697423798519	0.2651253706116363	0.1414206094639313	0.12570189344355895	0.3919046375924767	0.36648729617007153	-0.08226941198529926	0.24524171634158645	0.3287127459233319	0.4541857848269033	0.5427758558463648	0.24807549583245497	0.23914289194778876	0.3110832224208474	0.6536870282774617	0.3576279052425338	0.07960171359578194	0.41336431135549156	0.3716571056738297	0.5360381707667333	0.5032310475130731	-0.051113911424427394	0.4525690911371488	0.2872312470699324	0.4219786488236635	0.37129159449659904	0.3999593917211055	0.18439519687551345	0.3998910843285585	0.4681511393264002	-0.3162989382225127	0.6147062195311455	-0.061435254334308	0.46404812399486395	0.380314516193845	-0.03883229174966	0.45059177027651715	0.3819663375278818	0.4681511393264002	-0.3162989382225127	0.03153507545766954	-0.1792658187897259	0.3338299528346393	0.47562080348123176	0.04716600471425798	-0.12428051103266234	0.0031003547732658303
R_K098_N1t1	0.0842521914919474	0.061732219308651935	0.11437828682588286	0.370710329293707	0.2553483333661242	0.3494886902529127	0.47399390911233025	0.3210218004284392	0.3720037607678976	0.34544351435959186	0.2836780134380235	0.44776463779023434	0.3709618667791553	0.34945528947691934	0.10182981526671271	0.07751267666951143	0.4550389038726853	0.37102860671186166	0.372646353478072	0.395998885604349	0.05330710300743469	0.3193465274534714	0.27849688594907707	0.21337144044506912	0.44009207565905867	0.34587865801640527	0.23768241142741586	0.25466701758878063	0.3475778350522985	0.36258459791819725	0.07597692837464949	0.3167738460795445	0.2205197913400271	0.3241117971098735	0.1697043593425965	0.14655701460405532	0.33567927045361295	0.354541008254706	0.43664109059396183	0.3549524522490024	0.10599196274152808	0.27235615986603123	0.13553812765026255	0.10242432740723706	0.45627946588820323	-0.05725588821486698	0.36117269647691685	0.4397951479766706	0.21644447586880808	0.35036616688772443	0.3626941068163727	0.27361293278907023	0.3674501845927411	0.6678598141155735	-0.1739595632674047	0.4272951091943188	0.1374862725101482	0.5058439716006934	0.5207267003285425	0.4481358876475891	0.5052217023543167	0.5619866480108795	0.6678598141155735	-0.1739595632674047	0.5458873689715412	0.013339964955599942	0.530296438337149	0.6332227948963073	0.03576550996216524	0.010901018402104584	0.17555920234063868
R_K265_N1t1	0.22761843472376125	0.19816687428868446	0.3612149337748173	0.43641092572553364	0.16034474922732908	0.39887175014633874	0.37479648500607343	0.2990773128560663	0.29564305347222863	0.3443046669490833	0.2738180199099128	0.39782321276966354	0.2744044180344848	0.2718698298198325	0.2973097186343068	0.17938181625768312	0.35709291402217086	0.30451830535738694	0.2981703063339658	0.4497873468837433	0.16130249744574102	0.32319821674066407	0.26196829618591444	0.3046104546477561	0.39323488360388037	0.24357233241138285	0.10101586587509084	0.1054291323711574	0.36318409732047435	0.3345636195162667	-0.02494337861088117	0.24030074040523086	0.32631459230445037	0.37204876141581894	0.4338111044364069	0.159190779743482	0.25951664430110266	0.33105900797990173	0.5693827425129443	0.33551141378014043	0.04697345242425529	0.33736154226609555	0.31771510685482524	0.4292823793525405	0.4440025843163581	-0.058428511612718906	0.446027936343134	0.2739201320282394	0.35766440585083353	0.391107421081615	0.35258703693018634	0.1914216005824666	0.3632452251600699	0.44410776787242673	-0.29623416767251565	0.6009814433560337	-0.09786256595162034	0.48819315127860957	0.44134550437690573	-0.12755043438041325	0.40636233916433756	0.3679860603983216	0.44410776787242673	-0.29623416767251565	-0.09570510825399542	-0.09237124757346692	0.33218342831922254	0.436248942545436	-0.009116786302119461	-0.11413160371214455	0.026568682681270973
