sample	GOBP_METHYLATION	GOBP_REGULATION_OF_GENE_EXPRESSION_EPIGENETIC	GOBP_RNA_SPLICING	HALLMARK_ADIPOGENESIS	HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANGIOGENESIS	HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_SURFACE	HALLMARK_APOPTOSIS	HALLMARK_BILE_ACID_METABOLISM	HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_COAGULATION	HALLMARK_COMPLEMENT	HALLMARK_DNA_REPAIR	HALLMARK_E2F_TARGETS	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_G2M_CHECKPOINT	HALLMARK_GLYCOLYSIS	HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEME_METABOLISM	HALLMARK_HYPOXIA	HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_UP	HALLMARK_MITOTIC_SPINDLE	HALLMARK_MTORC1_SIGNALING	HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V2	HALLMARK_MYOGENESIS	HALLMARK_NOTCH_SIGNALING	HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_P53_PATHWAY	HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PEROXISOME	HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PROTEIN_SECRETION	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_SPERMATOGENESIS	HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_UP	HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_XENOBIOTIC_METABOLISM	motzer_angiogenesis	motzer_t_effector	motzer_FAO_AMPK	motzer_cell_cycle	motzer_FAS_pentose_phosphate	motzer_stroma	motzer_myeloid_inflammation	motzer_complement_cascade	motzer_omega_oxidation	mc_dermott_angiogenesis	mc_dermott_t_effector	mc_dermott_myeloid_inflammation	J101_immune_26genes	J101_angiogenesis	comparz_angio	cin70	braun_exhaustion	annelaure_exhaustion
K021-R1	0.22106606679505184	0.19599200853159432	0.3966743346848707	0.4373179655217274	0.3044275896714329	0.3919115982439552	0.3588979688144733	0.256125352653098	0.16963764651068652	0.3925167989691974	0.22998196778407232	0.37811743452860047	0.29772292596540184	0.3278398281156744	0.4178927326779494	0.3934188102187504	0.3950631607532846	0.2549328672503372	0.273202058265507	0.39937806429252587	0.35160665529030144	0.34528031505662143	0.23482402141776626	0.27867084507730355	0.34059660483615234	0.29849441169789176	0.2723968720089473	0.23612403963807815	0.44758481362755376	0.4278250779263304	-0.14683286483866537	0.29467355700083014	0.35831779550001636	0.4947952841837912	0.5781999263701302	0.40209604184251496	0.17764125666570038	0.25038785307949873	0.5812984438946317	0.3702221127449581	0.08211649520822807	0.3505785459386579	0.3886665640641616	0.4907184871284212	0.5025862989111094	-0.0012804805533116008	0.40615320239852387	0.33513342823523634	0.4469004297385204	0.32622107609141326	0.34142795242210516	0.1285801957214167	0.3277848806696901	0.31522645876812766	-0.04160309882679405	0.3787561656762101	0.2963446100086078	0.5416993429420851	0.5774455012542494	0.04346238045656912	0.47359996391527115	0.31298039243737585	0.31522645876812766	-0.04160309882679405	0.08722111365397982	0.021588109248294053	0.10623021718208293	0.23080088087515233	0.3814746714741217	0.08400963399153753	0.1708595800543538
K021-R5	0.2266129949487922	0.1892382508165949	0.40341132469783914	0.436401333032299	0.2788916972094771	0.3694487247049194	0.29772092937887845	0.21973994358057006	0.10180011252056466	0.36600146808661893	0.21484016057275251	0.37698432333037923	0.24257179077902635	0.28830781114329274	0.42565495144936594	0.3973676366637715	0.3074208829740574	0.24381896067778902	0.24566271510659224	0.4001486670710417	0.3577858125220834	0.3615335236901651	0.2407316860085632	0.2769341106086302	0.34154757911333067	0.2600778461195928	0.22752756131960544	0.21617702237059458	0.4263213959509366	0.39781764568211936	-0.15247173301852032	0.24432991951006003	0.35414342220987377	0.50200947179013	0.5801196765201817	0.43551870619030014	0.15656441458330508	0.24197114330531744	0.5887381174942053	0.3727910289175508	0.08241491528998703	0.35516946538831656	0.3901124151655602	0.484386889158538	0.5039744553390891	0.003604342103960782	0.3583151445101348	0.32754502411167546	0.44482500284817067	0.2794729799125397	0.3372984000280159	0.11897788628524647	0.2941477657512735	0.39538000096887377	-0.022142339572890784	0.39805867515883914	0.3043011460701668	0.5512898811431733	0.4016163215317953	0.052126117568271034	0.3094558241977727	0.33505138881525465	0.39538000096887377	-0.022142339572890784	0.11100429576109093	-0.04525653278863888	0.043852900154535544	0.12315274349856807	0.38483791499660885	0.037649052429078025	0.15668130878088965
K023-R2	0.20630930899809735	0.20617521705922198	0.38093980119841975	0.4433234274319298	0.3171800614559283	0.40882966447983643	0.35848390483627773	0.25984612485968844	0.137654323397704	0.39026409491888897	0.21170600080146976	0.3523047711844826	0.2982342272051017	0.3364966231478608	0.3684707371552591	0.2751852791954692	0.31800484628832015	0.23829781162824779	0.2225460442015473	0.38589043037562465	0.2320658580884788	0.3592333927103458	0.19633334506467118	0.2750236060810439	0.41054680923330134	0.27613380061664644	0.2769902529068514	0.2303141194529727	0.4561211667663156	0.4463080936391016	-0.14465876945430056	0.262881434015644	0.3129321604937863	0.4356752051425982	0.5295226982580277	0.27734204989336525	0.16867545566762268	0.27912518472596626	0.5490613871715782	0.3710370724323555	0.03230985852029403	0.3416009393938157	0.3764543599434752	0.5016333193301051	0.4532597163822319	-0.0599184757018245	0.4357819303370009	0.33487270565883454	0.4191939673746746	0.33510686352622865	0.35736723317466307	0.19798023156140543	0.30375496785910266	0.6078339049155019	-0.02558231466708204	0.43237308120370077	0.05696216075697102	0.35042096582676097	0.25614030221895207	0.03040890172885034	0.5142422836538718	0.14101752981296795	0.6078339049155019	-0.02558231466708204	0.07275469757590153	0.04557739344489314	0.29884466933792775	0.46876741635433394	0.13869471530234154	0.04415715375116848	0.07902897614972651
K023-R4	0.19343546591349045	0.16057951584978203	0.37044040682833057	0.45477014199086463	0.3107963616799446	0.395324736049885	0.3409967359955616	0.253476555875724	0.13007605347987955	0.3717835944402482	0.24981972379781295	0.3650833751906583	0.343316950894328	0.34926749949601743	0.3830045336309408	0.2829461103998912	0.3038031719209553	0.2605589670926142	0.24662267019976547	0.41685169919149123	0.23121255562202137	0.38344864114442034	0.20133702699047346	0.2922033566041323	0.41270617633293855	0.2556646229895794	0.2323767223667783	0.19783771094946015	0.47871199974698186	0.4565973590934954	-0.1289030920907902	0.25605675728303806	0.3013298121357703	0.4540827933859764	0.5286685751310839	0.3119201773068762	0.17838349932724518	0.2623654064358114	0.5767920485814534	0.3715487064178663	0.027173271461407026	0.36906468988730945	0.3770663216687932	0.4906475905982992	0.47107473275889145	-0.06128165111555654	0.38378151918221665	0.3183125695611014	0.425535583368956	0.31637520258937685	0.3587869719235569	0.1765619962548547	0.32859742937482894	0.5878732574848065	-0.04299910059739334	0.43006569543336437	0.08846958033557911	0.35196573448622004	0.23679924552352535	-0.08459749704093569	0.50994086817401	0.16412361100695955	0.5878732574848065	-0.04299910059739334	-0.06621551677440986	-0.011233967168807786	0.25494775879091985	0.43344417998774504	0.18451778969911117	0.0027414332832128288	0.0828468475686301
K032-R3	0.2117368520330196	0.2246558832311768	0.384096812982439	0.445034103444806	0.3395302729755265	0.39763779066309546	0.41224461091267883	0.2902033596532758	0.15233244270748192	0.4202988695409872	0.2032666246379821	0.3470064147525054	0.3326430620997148	0.3705869299798928	0.38516851565586696	0.2610082745642411	0.40840287821059706	0.25727739515050346	0.2344488242937251	0.3857341874757999	0.2325711956705709	0.37090167502529897	0.20466794526198953	0.29017251715890074	0.4279500224167185	0.3127690843130566	0.2988981748967456	0.25053008710755775	0.4719878573398493	0.46092872447753647	-0.14136576300283843	0.2974450067986473	0.3289461921603533	0.44158671161075563	0.5418150637024792	0.3152379078775188	0.2321695284425906	0.3412994979360014	0.5542529388958151	0.39396764424317804	-0.019506264940692176	0.336944959435138	0.38455687993807586	0.48050474723539294	0.4774734247088098	-0.06673731870915643	0.463823705984254	0.39231413258665637	0.42777650782054616	0.3679340328653972	0.36259782667882134	0.2815754243306582	0.31463589045764195	0.6077762429959778	-0.05618282426671977	0.3678691272382724	0.0414901735007331	0.4116527473887943	0.5709943659741438	0.3047203140125672	0.5047460075791087	0.11032371347661943	0.6077762429959778	-0.05618282426671977	0.31507252996288737	0.07420580819680554	0.4037941721268624	0.584110928769193	0.1481530989868949	0.05491398418563992	0.09619065390270841
K032-R4	0.21057729549366289	0.2403826159981023	0.3819535913329129	0.416420066450393	0.37712328031300407	0.40638799991446767	0.43278725433239684	0.3025293532728535	0.15321129660936822	0.4477661801539675	0.17064696054822598	0.34469077620062544	0.3395877096412056	0.3957168519963888	0.38108378920140623	0.284924802968819	0.46037437736687375	0.2538333864970278	0.2311419317404379	0.34645819146083456	0.2628027195738937	0.3581633459895799	0.22709283982397524	0.274311894852217	0.43380812920553624	0.33694578255064844	0.34857177387401045	0.29754198307834206	0.47316612072809017	0.4761823309014291	-0.14502364498351872	0.3258491545122061	0.35155626637860166	0.44793016758084775	0.5378910527511663	0.310920657060497	0.2403316469992804	0.3457663507269575	0.5215144649374424	0.4078992674179532	-0.03981494186512883	0.31073403460051935	0.3887713798182954	0.4853345344875898	0.4729398001079334	-0.04901338381791485	0.4717445826826551	0.46028072758802546	0.44420259451810545	0.38694470906297657	0.3553216168974888	0.3035620554175781	0.2968699157796416	0.6362939823011169	0.020705182161741317	0.25835333161129265	0.10929537115340046	0.42065462736469234	0.6428677086566036	0.49057425885009465	0.5099204173680507	0.035446470602655024	0.6362939823011169	0.020705182161741317	0.4624274526269709	0.13556403488972898	0.40235668137235386	0.5875052536687723	0.17848882962448492	0.19602472040904634	0.16856839934484238
K059-R13	0.20716039302712141	0.17253859465544685	0.37645684167959115	0.4320960639685085	0.31242042953442295	0.4008259261575532	0.25614090571780723	0.22720299799010424	0.06074312482326369	0.37008296990440864	0.24222192125416878	0.36895306223341034	0.28701590252649056	0.30460185985282473	0.38358305973092754	0.28818230321149807	0.28148546512230843	0.24711106664621524	0.22692207741444684	0.38271650861463163	0.23204488395379275	0.3788197510157811	0.18473194298067147	0.2682612108662765	0.40089483348469807	0.26714926584007337	0.2503687203660506	0.2161129679077358	0.4941220951766479	0.47108766200720376	-0.13816144320642426	0.2411630984515418	0.29861508000910114	0.45866417907193113	0.5339677877474731	0.32608678917353995	0.14293031551957244	0.23915009988733665	0.5582314063078815	0.3719229238860448	0.007976064098318096	0.3534818268224178	0.38072589860186024	0.48620761078403896	0.4801354969369877	-0.04479785735328027	0.35370956264695996	0.3388433654181592	0.44408103470556287	0.29273409990285715	0.33887481795675545	0.13264450013118975	0.29200629700251896	0.4658209748129472	0.01920126012895009	0.43815379218861883	0.07203348167639394	0.4011321325278704	0.05414894396611484	0.013952240444079174	0.5376663897229111	0.1495510612184807	0.4658209748129472	0.01920126012895009	0.05273704488481065	0.04042268760147436	0.03996856029147213	0.17709440384854364	0.18168145248213446	0.07237081169833127	0.12131158310667212
K059-R4	0.2123525901612336	0.18762954454483466	0.3852926926351773	0.43262057443936414	0.3204227427871471	0.391721625938966	0.25441175746061423	0.23227718066756198	0.09042091175171514	0.36925464788864476	0.22247622462725808	0.35977800780259395	0.28457044794688197	0.3127602333355545	0.3909868431817525	0.2891553504217946	0.2748358243216405	0.25058097799276957	0.22205690028347966	0.3839056262508338	0.2567366050215974	0.3770464386840623	0.17013443141917453	0.28039096560788873	0.40863540955413585	0.27239455748896974	0.2776640569652786	0.23389877213489318	0.510628646709608	0.47897341018603207	-0.13866921154063608	0.2454035123441304	0.31277424401337484	0.46203298358407446	0.5453356741744273	0.335413393196425	0.14830795306633016	0.2562970359159434	0.5525368028999016	0.37725700712297716	0.0190804079992701	0.3451133062795485	0.37950501720705565	0.48648580584600454	0.4888473579305113	-0.05521455083551137	0.36782402908180295	0.334027559505488	0.43743156149395496	0.2972478142072595	0.3441052562747235	0.14213140571023014	0.2949878820439188	0.4691763396132193	-0.040048572061461854	0.41625334300781813	0.07695038246066933	0.41714310105264174	0.0722509467361458	0.0075724411597539185	0.5419828233330775	0.2328828785423891	0.4691763396132193	-0.040048572061461854	0.06096503824138844	0.020946742030070215	0.030040799185705507	0.1724931601462709	0.20279094853062882	0.01736480630636383	0.06722689116821566
K059-R9	0.20633277680310427	0.20372553872238966	0.3775441589680563	0.426038481716929	0.38074904177565205	0.3926420409481246	0.37777897244680136	0.27546941645016315	0.14621273841073484	0.40703892353315085	0.18383748086511947	0.34754423688867536	0.3286358580304706	0.37873372562623503	0.3861228770943613	0.3271091544276988	0.37648599888740336	0.2594232543200899	0.23617878005643386	0.35943302450616504	0.29707200576371284	0.3745215682497571	0.22314230931176235	0.2779598691792803	0.41630605406451615	0.31337965932261286	0.3439323617566304	0.28393405164502483	0.5080535844609978	0.4983368207319255	-0.14481311469831354	0.29233956208383427	0.3536206537281248	0.4618147087854707	0.5447721971770364	0.3254715760061755	0.19156765659391928	0.3146676586835322	0.5343057928771822	0.38524055743799124	0.007475617225133215	0.32137017007246343	0.39669130497661026	0.4789035554215893	0.4937600070109169	-0.05058784994043049	0.4089684982032658	0.37701732542975763	0.43894442815670015	0.3449136389054341	0.35104794362499847	0.24981665702324155	0.29516190816942484	0.6108648594976696	0.1495054937800402	0.3655855925244312	0.16759161635181793	0.45680069664843537	0.46738633799558155	0.1278680086429151	0.5486094096352854	0.2227474777605449	0.6108648594976696	0.1495054937800402	0.17850297496010767	0.17430386122777744	0.25918358404176883	0.4632618822193217	0.26563201796827923	0.15772225186402378	0.20383783003655814
K064-R1	0.2039943442222174	0.20604633253326732	0.38479852727378666	0.43714208526406945	0.3339448255171757	0.4008536163529197	0.38258921701722887	0.2952730272850544	0.1713986009442859	0.4041015585748756	0.21098081931620566	0.3575316341138607	0.33645921476986534	0.3578871067171608	0.3885341471516132	0.29211859962491554	0.40544601522597706	0.25107247159031104	0.24869259641021269	0.3783795771352955	0.2443216088470625	0.3738805149692585	0.2027039829595514	0.28589575966665315	0.418376753071285	0.2908267127504671	0.2746072326981117	0.23465221877015568	0.47855944091380026	0.4604413413793354	-0.11936875943758456	0.29859991768257627	0.32740017394330445	0.4379586712191613	0.5382437683886241	0.3026562982858979	0.2167904951006844	0.2968955826925362	0.5508217531145729	0.3819331133925369	-0.0030092437803867877	0.3357022178504981	0.37247099881703233	0.4846796365881995	0.46752589162263136	-0.04060072977610319	0.42361473653748394	0.3581447958770972	0.4366525712236825	0.35925438400559423	0.34854209245197876	0.21609494133397705	0.3054829835632381	0.5658713443238795	-0.06306620194749464	0.3790249419219805	0.10123885670045069	0.3731323854628468	0.5676392627420795	0.013732589265697297	0.50832466200567	0.18287331803756393	0.5658713443238795	-0.06306620194749464	0.04106598823672034	0.11234838774191196	0.2867441043975243	0.47208887919941867	0.19701667226463196	0.08988657115019417	0.0952128884849804
