ID	seqnames	type	start	end	strand	likelyStrand	Parent	length	ORFnumber	nearest_ref_gene	nearest_ref_ensembl_transcriptID	exonNumber	exonHits	exactAnnotated	partialAnnotated	geneID	gene_type	genelevel	gene_name	ensembl_transcriptID	transcript_type	transcript_support_level	LTR/repClass	LTR/repName	LTR/repeatIDs	repClass	repeatIDs	LTRderived	spansRTErepeat	summaryAnnotation
trans007de961699127fc	chr4	transcript	76030246	76036185	-	-	NA	2500	NA	CXCL11	ENST00000503860.1	5	986889;986896;986905;986911;986915	2	4	ENSG00000169248.12	protein_coding	level 2	 CXCL11	ENST00000306621.7	protein_coding	1	ERVL-MaLR	MLT1N2	LTR/ERVL-MaLR|MLT1N2|4|76033093|76033323	SINE;LTR	SINE/Alu|AluSx3|4|76030058|76030355;SINE/Alu|AluSq2|4|76032583|76032885;LTR/ERVL-MaLR|MLT1N2|4|76033093|76033323	TRUE	TRUE	partial
trans008b0ca42e16bae1	chrX	transcript	2952423	2964480	-	-	NA	845	1	ARSE	ENST00000545496.5	6	3823394;3823402;3823424;3823435;3823454;3823461	4	5	ENSG00000157399.14	protein_coding	level 2;level 3	 ARSE	ENST00000381134.7;ENST00000545496.5	protein_coding	1;2	ERVL-MaLR	MLT1A0	LTR/ERVL-MaLR|MLT1A0|X|2952468|2952620	SINE;LTR	SINE/Alu|AluSz6|X|2952336|2952466;LTR/ERVL-MaLR|MLT1A0|X|2952468|2952620	TRUE	TRUE	partial
trans00eb279b4150fed2	chr16	transcript	47079532	47143883	-	-	NA	5517	1	NETO2	ENST00000303155.9	9	2974103;2974121;2974147;2974170;2974181;2974191;2974199;2974206;2974220	7	9	ENSG00000171208.9	protein_coding	level 2	 NETO2	ENST00000303155.9;ENST00000562435.5	protein_coding	1;5	ERV1	LTR12E	LTR/ERV1|LTR12E|16|47143725|47143941	SINE;LTR	SINE/Alu|AluY|16|47079314|47079608;LTR/ERV1|LTR12E|16|47143725|47143941	TRUE	TRUE	partial
trans0141e3208a398c3b	chr5	transcript	139527878	139535164	*	NA	NA	486	NA	UBE2D2	ENST00000511725.5	2	1170147;1170161	0	0	NA	NA	NA	 UBE2D2	NA	NA	NA	ERV1	Harlequin-int~LTR2B	LTR/ERV1|Harlequin-int~LTR2B|5|139526721|139531564	LTR;SINE	LTR/ERV1|Harlequin-int~LTR2B|5|139526721|139531564;SINE/Alu|AluSx|5|139534857|139535162	TRUE	TRUE	unannotated
trans0170c9e71eaabf13	chr11	transcript	114329993	114337134	*	NA	NA	1691	NA	RP11-64D24.2	ENST00000544925.1	2	2278349;2278352	0	0	NA	NA	NA	 RP11-64D24.2	NA	NA	NA	ERVL-MaLR	MLT1J2	LTR/ERVL-MaLR|MLT1J2|11|114330648|114330947	LTR;LINE;SINE	LTR/ERVL-MaLR|MLT1J2|11|114330648|114330947;LINE/L1|L1MEi|11|114330968|114331593;SINE/Alu|AluSx1|11|114331594|114331927;SINE/Alu|AluSx|11|114337046|114337334	TRUE	TRUE	unannotated
trans0222e6efc2c6e735	chr14	transcript	22169438	22173646	*	NA	NA	309	NA	NA	NA	2	2600706;2600717	0	0	NA	NA	NA	NA	NA	NA	NA	ERV1	LTR39-int~MER4CL34	LTR/ERV1|LTR39-int~MER4CL34|14|22170798|22174156	LTR	LTR/ERV1|LTR39-int~MER4CL34|14|22170798|22174156	TRUE	TRUE	unannotated
trans0234699cdbdd4ddd	chr4	transcript	38750727	38752930	*	NA	NA	481	NA	NA	NA	2	955612;955616	0	0	NA	NA	NA	NA	NA	NA	NA	ERVL-MaLR	MLT1G3	LTR/ERVL-MaLR|MLT1G3|4|38750528|38751065	LTR;SINE	LTR/ERVL-MaLR|MLT1G3|4|38750528|38751065;SINE/MIR|MIR3|4|38752436|38752513	TRUE	TRUE	unannotated
trans02da29470ce752b0	chr6	transcript	132681597	132763577	-	-	NA	3168	2	RP1-55C23.7	ENST00000430895.1	9	1369219;1369223;1369344;1369349;1369360;1369375;1369378;1369389;1369416	5	9	ENSG00000112299.7;ENSG00000112303.13	protein_coding	level 2	 RP1-55C23.7	ENST00000326499.10;ENST00000367928.4;ENST00000525270.5	protein_coding	1;2	ERVL-MaLR;ERVL	MLT1B;LTR101_Mam	LTR/ERVL-MaLR|MLT1B|6|132682335|132682693;LTR/ERVL|LTR101_Mam|6|132763465|132763980	LTR	LTR/ERVL-MaLR|MLT1B|6|132682335|132682693;LTR/ERVL|LTR101_Mam|6|132763465|132763980	TRUE	TRUE	partial
trans033b8069d66519dc	chr11	transcript	101230831	101231154	*	NA	NA	205	NA	NA	NA	2	2266022;2266024	0	0	NA	NA	NA	NA	NA	NA	NA	ERV1	HERV9-int~LTR12C	LTR/ERV1|HERV9-int~LTR12C|11|101230104|101241804	LTR	LTR/ERV1|HERV9-int~LTR12C|11|101230104|101241804	TRUE	TRUE	unannotated
trans034a403758dbcd77	chr16	transcript	88808833	88809257	*	NA	NA	425	NA	CDT1	ENST00000301019.8	1	3042949	0	1	ENSG00000167513.8	protein_coding	level 2	 CDT1	ENST00000301019.8	protein_coding	1	ERVL-MaLR	MLT1D	LTR/ERVL-MaLR|MLT1D|16|88809016|88809264	SINE;LTR	SINE/Alu|AluY|16|88808719|88809011;LTR/ERVL-MaLR|MLT1D|16|88809016|88809264	TRUE	TRUE	partial
trans0363c41782f400c3	chr7	transcript	2904852	2930069	-	-	NA	3672	3	CARD11	ENST00000396946.8	14	1415673;1415692;1415703;1415716;1415736;1415745;1415757;1415769;1415789;1415794;1415809;1415822;1415833;1415841	12	14	ENSG00000198286.9	protein_coding	level 2	 CARD11	ENST00000396946.8	protein_coding	1	ERVL-MaLR	MLT1J	LTR/ERVL-MaLR|MLT1J|7|2904977|2905418	LTR	LTR/ERVL-MaLR|MLT1J|7|2904977|2905418	TRUE	TRUE	partial
