sample	Chromosome	Start.bp	End.bp	n_probes	length	seg_sigma	W	copy_ratio	modal_cn	expected_cn	subclonal	cancer_cell_frac	ccf_ci95_low	ccf_ci95_high	hz	logR	norm_modal_cn	driverSCNA	arm	gps_start	gps_end
R2d1tg1	1	93709	3607490	214	3513781	0.00854	0.00131	0.49945	2	2	0	1	1	1	0	-0.00158783801608181	0	NA	p36.33-p36.32	93709	3607490
R2d1tg1	1	3686583	24496078	520	20809495	0.00548	0.00776	0.48086	2	2	0	1	1	1	0	-0.0563111732521614	0	NA	p36.32-p36.11	3686583	24496078
R2d1tg1	1	24709983	121286065	1474	96576082	0.00326	0.03599	0.50233	2	2	0	1	1	1	0	0.00670734289123946	0	NA	p36.11-p11.2	24709983	121286065
R2d1tg1	1	142633228	145637201	58	3003973	0.01641	0.00112	0.52232	2	2	0	1	1	1	0	0.0630058516878139	0	NA	q21.1	142633228	145637201
R2d1tg1	1	145702340	207680163	876	61977823	0.00422	0.0231	0.50404	2	2	0	1	1	1	0	0.0116101339008545	0	NA	q21.1-q32.2	145702340	207680163
R2d1tg1	1	207684902	208640085	192	955183	0.00902	0.00036	0.56093	2	2	1	0.38	0.20148	0.55298	0	0.165892649290866	0	NA	q32.2	207684902	208640085
R2d1tg1	1	208715245	209391690	10	676445	0.03953	0.00025	0.3489	1	1	0	1	1	1	0	-0.519114497355075	-1	NA	q32.2	208715245	209391690
R2d1tg1	1	209466850	212247789	38	2780939	0.02028	0.00104	0.53366	2	2	0	1	1	1	0	0.0939927845964469	0	NA	q32.2-q32.3	209466850	212247789
R2d1tg1	1	212322949	238356293	338	26033344	0.0068	0.0097	0.35914	1	1	0	1	1	1	0	-0.477381749632354	-1	NA	q32.3-q43	212322949	238356293
R2d1tg1	1	238432234	249149416	279	10717182	0.00748	0.00399	0.34045	1	1	0	1	1	1	0	-0.554485161697888	-1	NA	q43-q44	238432234	249149416
R2d1tg1	2	86985	29036703	420	28949718	0.0061	0.01079	0.50789	2	2	0	1	1	1	0	0.0225879736874778	0	NA	p25.3-p23.2	249337606	278287324
R2d1tg1	2	29112478	29929161	141	816683	0.01053	3e-04	0.46814	2	2	0	1	1	1	0	-0.0949880541781116	0	NA	p23.2	278363099	279179782
R2d1tg1	2	29940441	89556428	884	59615987	0.0042	0.02222	0.49703	2	2	0	1	1	1	0	-0.00859516152029151	0	NA	p23.2-p11.2	279191062	338807049
R2d1tg1	2	95399733	144929230	1126	49529497	0.00373	0.01846	0.50656	2	2	0	1	1	1	0	0.0188050657003694	0	NA	q11.1-q22.3	344650354	394179851
R2d1tg1	2	145004799	243170925	1413	98166126	0.00333	0.03659	0.50327	2	2	0	1	1	1	0	0.00940450624331969	0	NA	q22.3-q37.3	394255420	492421546
R2d1tg1	3	136041	48625481	899	48489440	0.00417	0.01807	0.35016	1	1	0	1	1	1	0	-0.513913805797765	-1	Loss_3p25.3	p26.3-p21.31	492586035	541075475
R2d1tg1	3	48700192	50119699	20	1419507	0.02795	0.00053	0.26615	1	0.99984	1	0.46	0.16781	0.74778	0	-0.909688528623963	-1	NA	p21.31	541150186	542569693
R2d1tg1	3	50194410	90429560	727	40235150	0.00464	0.015	0.3463	1	1	0	1	1	1	0	-0.529905707352221	-1	NA	p21.31-p11.1	542644404	582879554
R2d1tg1	3	93580643	108042714	222	14462071	0.00839	0.00539	0.34189	1	1	0	1	1	1	0	-0.548395869136806	-1	NA	q11.1-q13.13	586030637	600492708
R2d1tg1	3	108117712	181356782	1037	73239070	0.00388	0.0273	0.51008	2	2	0	1	1	1	0	0.02879543955366	0	NA	q13.13-q26.33	600567706	673806776
R2d1tg1	3	181430182	181431069	19	887	0.02868	0	0.58439	2	2.44088	1	0.53	0.22849	0.81804	0	0.225003396269374	0	NA	q26.33	673880176	673881063
R2d1tg1	3	181505180	195505339	415	14000159	0.00614	0.00522	0.47516	2	2	0	1	1	1	0	-0.0735147028365442	0	NA	q26.33-q29	673955174	687955333
R2d1tg1	3	195505693	195506898	19	1205	0.02868	0	0.58313	2	2.28872	1	0.52	0.22086	0.81045	0	0.221889451399484	0	NA	q29	687955687	687956892
R2d1tg1	3	195506947	195510811	75	3864	0.01443	0	0.7533	4	3.99999	1	0.59	0.37129	0.78895	0	0.591296434443207	2	NA	q29	687956941	687960805
R2d1tg1	3	195510861	195513721	23	2860	0.02606	0	1.12327	6	6	1	0.9	0.59803	1	0	1.16770474950341	4	NA	q29	687960855	687963715
R2d1tg1	3	195513771	195515527	36	1756	0.02083	0	0.68858	3	3	0	1	1	1	0	0.461696183145287	1	NA	q29	687963765	687965521
R2d1tg1	3	195515577	197886222	88	2370645	0.01333	0.00088	0.53049	2	2	0	1	1	1	0	0.0853974609908764	0	NA	q29	687965571	690336216
R2d1tg1	4	88952	49263653	783	49174701	0.00447	0.01833	0.48592	2	2	0	1	1	1	0	-0.041209281269352	0	NA	p16.3-p11	690561376	739736077
R2d1tg1	4	52735275	190818701	2346	138083426	0.00258	0.05146	0.49459	2	2	0	1	1	1	0	-0.0156950243795996	0	NA	q12-q35.2	743207699	881291125
R2d1tg1	5	85370	27229309	356	27143939	0.00662	0.01012	0.49655	2	2	0	1	1	1	0	-0.00998909793909982	0	NA	p15.33-p14.1	881712070	908856009
R2d1tg1	5	27304100	46330140	344	19026040	0.00674	0.00709	0.50177	2	2	0	1	1	1	0	0.0050981220832263	0	NA	p14.1-p11	908930800	927956840
R2d1tg1	5	49481015	180190233	2143	130709218	0.0027	0.04871	0.49717	2	2	0	1	1	1	0	-0.00818885030110132	0	NA	q11.1-q35.3	931107715	1061816933
R2d1tg1	5	180376279	180429789	21	53510	0.02728	2e-05	0.32554	1	1	0	1	1	1	0	-0.61909327267577	-1	NA	q35.3	1062002979	1062056489
R2d1tg1	5	180430831	180847297	29	416466	0.02321	0.00016	0.50268	2	2	0	1	1	1	0	0.00771219515086781	0	NA	q35.3	1062057531	1062473997
R2d1tg1	6	135217	28463545	547	28328328	0.00534	0.01056	0.50076	2	2	0	1	1	1	0	0.00219123154773968	0	NA	p25.3-p22.1	1062677177	1091005505
R2d1tg1	6	28538652	32713147	21	4174495	0.02728	0.00156	0.33272	1	1	0	1	1	1	0	-0.587619504790455	-1	NA	p22.1-p21.32	1091080612	1095255107
R2d1tg1	6	33128993	42778741	123	9649748	0.01127	0.0036	0.50028	2	2	0	1	1	1	0	0.000807683092733245	0	NA	p21.32-p21.1	1095670953	1105320701
R2d1tg1	6	42854129	43017738	99	163609	0.01256	6e-05	0.44439	2	2	1	0.35	0.14491	0.53903	0	-0.170101742410427	0	NA	p21.1	1105396089	1105559698
R2d1tg1	6	43017798	58539101	274	15521303	0.00755	0.00578	0.48991	2	2	0	1	1	1	0	-0.0294113548012644	0	NA	p21.1-p11.2	1105559758	1121081061
R2d1tg1	6	61942522	114229781	681	52287259	0.00479	0.01949	0.50983	2	2	0	1	1	1	0	0.0280881736822679	0	NA	q11.1-q21	1124484482	1176771741
R2d1tg1	6	114304877	121428071	274	7123194	0.00755	0.00265	0.48663	2	2	0	1	1	1	0	-0.0391028319125001	0	NA	q21-q22.31	1176846837	1183970031
R2d1tg1	6	121503187	170982159	711	49478972	0.00469	0.01844	0.50561	2	2	0	1	1	1	0	0.0160969026619478	0	NA	q22.31-q27	1184045147	1233524119
R2d1tg1	7	121242	12218148	253	12096906	0.00786	0.00451	0.63134	3	3	0	1	1	1	0	0.336489064376839	1	NA	p22.3-p21.3	1233778269	1245875175
R2d1tg1	7	12293103	57980673	723	45687570	0.00465	0.01703	0.66283	3	3	0	1	1	1	0	0.406710806211164	1	NA	p21.3-p11.2	1245950130	1291637700
R2d1tg1	7	61118627	76040696	190	14922069	0.00907	0.00556	0.61498	3	3	1	0.72	0.53915	0.88991	0	0.298611397889723	1	NA	q11.1-q11.23	1294775654	1309697723
R2d1tg1	7	76115665	151843840	1290	75728175	0.00348	0.02822	0.66067	3	3	0	1	1	1	0	0.402001740770961	1	Gain_7q22.3	q11.23-q36.1	1309772692	1385500867
R2d1tg1	7	151845149	159053835	432	7208686	0.00601	0.00269	0.66688	3	3	0	1	1	1	0	0.415499087841697	1	NA	q36.1-q36.3	1385502176	1392710862
R2d1tg1	8	85136	43616065	740	43530929	0.0046	0.01622	0.49247	2	2	0	1	1	1	0	-0.0218922528959701	0	NA	p23.3-p11.1	1392880826	1436411755
R2d1tg1	8	47064138	72086427	329	25022289	0.00689	0.00933	0.52217	2	2	0	1	1	1	0	0.0625914786299177	0	NA	q11.1-q13.3	1439859828	1464882117
R2d1tg1	8	72161344	146230986	1324	74069642	0.00344	0.02761	0.50094	2	2	0	1	1	1	0	0.00270972033710816	0	NA	q13.3-q24.3	1464957034	1539026676
