sample	Chromosome	Start.bp	End.bp	n_probes	length	seg_sigma	W	copy_ratio	modal_cn	expected_cn	subclonal	cancer_cell_frac	ccf_ci95_low	ccf_ci95_high	hz	logR	norm_modal_cn	driverSCNA	arm	gps_start	gps_end
R4d1xx1	1	93709	26912259	644	26818550	0.00493	0.00999	0.47814	4	3.99999	0	1	1	1	0	-0.0644949918837819	0	NA	p36.33-p36.11	93709	26912259
R4d1xx1	1	27022921	27057965	23	35044	0.02606	1e-05	0.40126	3	2.95945	0	1	1	1	0	-0.317390748083856	-1	NA	p36.11	27022921	27057965
R4d1xx1	1	27058012	39924162	850	12866150	0.00429	0.00479	0.47329	4	3.99982	0	1	1	1	0	-0.0792036547523897	0	NA	p36.11-p34.3	27058012	39924162
R4d1xx1	1	39924745	103352580	897	63427835	0.00417	0.02363	0.50428	4	4	0	1	1	1	0	0.0122969135270682	0	NA	p34.3-p21.1	39924745	103352580
R4d1xx1	1	103354135	103484435	146	130300	0.01035	5e-05	0.41037	3	2.99994	0	1	1	1	0	-0.285002827960929	-1	NA	p21.1	103354135	103484435
R4d1xx1	1	103487239	121286065	321	17798826	0.00698	0.00663	0.50243	4	4	0	1	1	1	0	0.00699451496131636	0	NA	p21.1-p11.2	103487239	121286065
R4d1xx1	1	142633228	145321921	17	2688693	0.03032	0.001	0.63662	6	5.99948	0	1	1	1	0	0.34850438638364	2	NA	q21.1	142633228	145321921
R4d1xx1	1	145394877	152079988	119	6685111	0.01146	0.00249	0.45749	3	3.25683	0	1	1	1	0	-0.128187886153158	-1	NA	q21.1-q21.3	145394877	152079988
R4d1xx1	1	152080038	152085236	83	5198	0.01372	0	0.58423	5	5.00174	0	1	1	1	0	0.224608347052375	1	NA	q21.3	152080038	152085236
R4d1xx1	1	152085283	161856815	344	9771532	0.00674	0.00364	0.47005	4	3.99796	0	1	1	1	0	-0.0891138680644029	0	NA	q21.3-q23.3	152085283	161856815
R4d1xx1	1	161931668	186645717	945	24714049	0.00407	0.00921	0.50973	4	4	0	1	1	1	0	0.0278051702208699	0	NA	q23.3-q31.1	161931668	186645717
R4d1xx1	1	186645763	228404958	998	41759195	0.00396	0.01556	0.48751	4	4	0	1	1	1	0	-0.036496282584207	0	NA	q31.1-q42.13	186645763	228404958
R4d1xx1	1	228407055	228461217	66	54162	0.01539	2e-05	0.68696	7	6.99968	0	1	1	1	0	0.458298001999252	3	NA	q42.13	228407055	228461217
R4d1xx1	1	228461502	228470958	78	9456	0.01415	0	0.43906	3	3.00011	0	1	1	1	0	-0.187509989323508	-1	NA	q42.13	228461502	228470958
R4d1xx1	1	228471244	228493062	85	21818	0.01356	1e-05	0.62119	6	5.99998	0	1	1	1	0	0.313106510326371	2	NA	q42.13	228471244	228493062
R4d1xx1	1	228494098	228528395	124	34297	0.01123	1e-05	0.42411	3	3	0	1	1	1	0	-0.237489594550698	-1	NA	q42.13	228494098	228528395
R4d1xx1	1	228528445	228559653	127	31208	0.01109	1e-05	0.49593	4	4	0	1	1	1	0	-0.0117915947988978	0	NA	q42.13	228528445	228559653
R4d1xx1	1	228559702	228563403	34	3701	0.02144	0	0.4138	3	2.99942	0	1	1	1	0	-0.27299444968944	-1	NA	q42.13	228559702	228563403
R4d1xx1	1	228563463	240370918	247	11807455	0.00795	0.0044	0.50222	4	4	0	1	1	1	0	0.00639138757765197	0	NA	q42.13-q43	228563463	240370918
R4d1xx1	1	240370967	240371800	18	833	0.02946	0	0.3416	2	1.9772	0	1	1	1	0	-0.549620119928959	-2	NA	q43	240370967	240371800
R4d1xx1	1	240371849	249149416	205	8777567	0.00873	0.00327	0.48819	4	4	0	1	1	1	0	-0.0344853513827311	0	NA	q43-q44	240371849	249149416
R4d1xx1	2	86985	92106651	1351	92019666	0.0034	0.03428	0.49893	4	4	0	1	1	1	0	-0.00309067559115357	0	NA	p25.3-p11.1	249337606	341357272
R4d1xx1	2	95400201	220435189	2363	125034988	0.00257	0.04658	0.50264	4	4	0	1	1	1	0	0.00759739030929285	0	NA	q11.1-q35	344650822	469685810
R4d1xx1	2	220435240	220435917	14	677	0.03341	0	0.32839	2	1.73074	0	1	1	1	0	-0.606517899471001	-2	NA	q35	469685861	469686538
R4d1xx1	2	220511067	243025566	409	22514499	0.00618	0.00839	0.50309	4	4	0	1	1	1	0	0.00888841834211294	0	NA	q35-q37.3	469761688	492276187
R4d1xx1	3	135374	52436969	936	52301595	0.00409	0.01948	0.42284	3	3	0	1	1	1	0	-0.241816235025764	-1	Loss_3p25.3	p26.3-p21.1	492585368	544886963
R4d1xx1	3	52437139	52610729	88	173590	0.01333	6e-05	0.35126	2	1.99999	0	1	1	1	0	-0.509388796970035	-2	NA	p21.1	544887133	545060723
R4d1xx1	3	52613048	64898973	248	12285925	0.00794	0.00458	0.42054	3	3	0	1	1	1	0	-0.24968506478248	-1	NA	p21.1-p14.1	545063042	557348967
R4d1xx1	3	64973726	71581215	87	6607489	0.0134	0.00246	0.4486	3	3.00651	0	1	1	1	0	-0.156498474463177	-1	NA	p14.1-p13	557423720	564031209
